,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,LC710779.1,LC710779.1,"Avian coronavirus Beaudette-FUB RNA, complete genome",2016,['Germany'],27608,Gallus gallus,92.0,9.2
1,MZ368698.1,MZ368698.1,"Avian coronavirus strain Beaudette, complete genome",17-Jul-2020,['Brazil'],27602,Gallus gallus,92.0,9.2
2,MK071267.1,MK071267.1,Avian coronavirus AvCoV/Gallus gallus//H120 complete genome,27-MAY-2019,,27632,,216.0,9.818181818181818
3,MG913343.1,MG913343.1,"Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 22/2013, complete genome",2013,['Brazil'],27605,Gallus gallus,194.0,9.7
4,MG913342.1,MG913342.1,"Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 38/2013 GI-11, complete genome, complete genome",2013,['Brazil'],27618,Gallus gallus,236.0,9.833333333333334
5,MH021175.1,MH021175.1,"Avian coronavirus strain D274, complete genome",1979,['Netherlands'],27599,,238.0,9.916666666666666
6,KY626045.1,KY626045.1,"Avian coronavirus strain Ma5, complete genome",2016,['Brazil'],27652,,276.0,10.222222222222221
7,KY626044.1,KY626044.1,"Avian coronavirus strain BR-I, complete genome",2016,['Brazil'],27618,,188.0,9.894736842105264
8,KX258195.1,KX258195.1,"Avian coronavirus isolate 23/2013, complete genome",2013,['Brazil'],27615,Gallus gallus,228.0,9.5
9,MW847253.1,MW847253.1,"Avian coronavirus isolate Beaudette-FU, complete genome",07-JUN-2022,['Germany'],27608,Gallus gallus,92.0,9.2
10,MT984602.1,MT984602.1,"Avian coronavirus strain D20222/2/3/2012/RO, complete genome",2012,['Romania'],27791,Gallus gallus,210.0,10.5
11,MT984601.1,MT984601.1,"Avian coronavirus strain D4000/3/2017/RO, complete genome",2017,['Romania'],27779,Gallus gallus,176.0,9.777777777777779
12,MT984600.1,MT984600.1,"Avian coronavirus strain D2353/2013/PL, complete genome",2013,['Poland'],27348,Gallus gallus,124.0,10.333333333333334
13,MT984599.1,MT984599.1,"Avian coronavirus strain D2220/2/2013/GR, complete genome",2013,['Greece'],27787,Gallus gallus,236.0,9.833333333333334
14,MT984598.1,MT984598.1,"Avian coronavirus strain D2002/2/2012/PT, complete genome",2012,['Portugal'],27659,Gallus gallus,156.0,10.4
15,MT984597.1,MT984597.1,"Avian coronavirus strain D1944/1/3/2012/RO, complete genome",2012,['Romania'],27642,Gallus gallus,334.0,10.121212121212121
16,MT984596.1,MT984596.1,"Avian coronavirus strain D1871/1/1/2012/HU, complete genome",2012,['Hungary'],27636,Gallus gallus,276.0,10.222222222222221
17,MT984595.1,MT984595.1,"Avian coronavirus strain D1783/2/3/2011/RO, complete genome",2011,['Romania'],27457,Gallus gallus,252.0,10.08
18,MT984594.1,MT984594.1,"Avian coronavirus strain D1760/2/2/2011/GR, complete genome",2011,['Greece'],27594,Gallus gallus,198.0,10.421052631578947
19,MT984593.1,MT984593.1,"Avian coronavirus strain D1719/1/2011/GR, complete genome",2011,['Greece'],27633,Gallus gallus,206.0,10.842105263157896
