,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,MT797634.1,MT797634.1,"Human coronavirus 229E isolate HK20-42, complete genome",2020-01,['Hong Kong'],27261,Homo sapiens,148.0,10.571428571428571
1,KY996417.1,KY996417.1,"Human coronavirus 229E strain 229E/UF-1/2016, complete genome",23-Nov-2016,['USA'],27270,,208.0,10.4
2,KF293666.1,KF293666.1,"Human coronavirus 229E clone K22-p11, partial genome",01-OCT-2013,['Sweden'],26897,Homo sapiens,150.0,10.714285714285714
3,KF293665.1,KF293665.1,"Human coronavirus 229E clone mock-p11, partial genome",01-OCT-2013,['Sweden'],26897,Homo sapiens,150.0,10.714285714285714
4,KF293664.1,KF293664.1,"Human coronavirus 229E clone p0, partial genome",01-OCT-2013,['Sweden'],26897,Homo sapiens,150.0,10.714285714285714
5,JX503061.1,JX503061.1,"Human coronavirus 229E isolate J0304, complete genome",2009,['Italy'],27208,Homo sapiens,148.0,10.571428571428571
6,JX503060.1,JX503060.1,"Human coronavirus 229E isolate 0349, complete genome",2010,['Netherlands'],27263,Homo sapiens,208.0,10.4
7,OK073084.1,OK073084.1,"Human coronavirus 229E strain P42, complete genome",2017,['China'],27239,Homo sapiens,148.0,10.571428571428571
8,OK073083.1,OK073083.1,"Human coronavirus 229E strain RS15, complete genome",2017,['China'],27282,Homo sapiens,148.0,10.571428571428571
9,OK073082.1,OK073082.1,"Human coronavirus 229E strain R41, complete genome",2018,['China'],27267,Homo sapiens,148.0,10.571428571428571
10,OK073081.1,OK073081.1,"Human coronavirus 229E strain R39, complete genome",2018,['China'],27284,Homo sapiens,148.0,10.571428571428571
11,OK073080.1,OK073080.1,"Human coronavirus 229E strain R35, complete genome",2018,['China'],27213,Homo sapiens,148.0,10.571428571428571
12,OK073079.1,OK073079.1,"Human coronavirus 229E strain R22, complete genome",2018,['China'],27284,Homo sapiens,148.0,10.571428571428571
13,OK073078.1,OK073078.1,"Human coronavirus 229E strain R10, complete genome",2017,['China'],27228,Homo sapiens,148.0,10.571428571428571
14,OK073077.1,OK073077.1,"Human coronavirus 229E strain R2, complete genome",2018,['China'],27284,Homo sapiens,148.0,10.571428571428571
15,LC654445.1,LC654445.1,"Human coronavirus 229E Fukushima_H829_2020 RNA, complete genome",2020,['Japan: Fukushima'],27263,Homo sapiens,148.0,10.571428571428571
16,ON729316.1,ON729316.1,"Human coronavirus 229E strain SC0678, complete genome",2019,['USA'],27211,Homo sapiens,148.0,10.571428571428571
17,ON791801.1,ON791801.1,"Human coronavirus 229E strain LC22, complete genome",2022,['USA'],27284,Homo sapiens,124.0,10.333333333333334
18,KY621348.1,KY621348.1,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC379/2016, complete genome",2016,['USA'],27144,Homo sapiens,148.0,10.571428571428571
19,KY674914.1,KY674914.1,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC399/2016, complete genome",2016,['USA'],27055,Homo sapiens,148.0,10.571428571428571
20,KY369909.2,KY369909.2,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC677/2016, complete genome",2016,['USA'],26592,Homo sapiens,148.0,10.571428571428571
21,KY369914.1,KY369914.1,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9773/2016, complete genome",2016,['USA'],27231,Homo sapiens,148.0,10.571428571428571
22,KY369912.1,KY369912.1,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC9731/2016, complete genome",2016,['USA'],27208,Homo sapiens,148.0,10.571428571428571
