,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,EF065513.1,EF065513.1,"Rousettus bat coronavirus HKU9, complete genome",01-FEB-2022,['China: Guangdong province'],29114,bat,3851.0,192.55
1,NC_009021.1,NC_009021.1,"Rousettus bat coronavirus HKU9, complete genome",22-NOV-2020,['China: Guangdong province'],29114,bat,3851.0,192.55
2,MG762674.1,MG762674.1,"Rousettus bat coronavirus HKU9 isolate Rousettus spp/Jinghong/2009, complete genome",01-Nov-2009,['China'],29134,Rousettus sp.,3562.0,114.90322580645162
3,HM211101.1,HM211101.1,"Bat coronavirus HKU9-10-2, complete genome",10-Apr-2006,['China: Guangdong province'],29122,bat BF_506I,4637.0,171.74074074074073
4,HM211100.1,HM211100.1,"Bat coronavirus HKU9-10-1, complete genome",10-Apr-2006,['China: Guangdong province'],29136,bat BF_506I,8696.0,207.04761904761904
5,HM211099.1,HM211099.1,"Bat coronavirus HKU9-5-2, complete genome",11-Dec-2005,['China: Guangdong province'],29112,bat BF_258I,4353.0,150.10344827586206
6,HM211098.1,HM211098.1,"Bat coronavirus HKU9-5-1, complete genome",11-Dec-2005,['China: Guangdong province'],29136,bat BF_258I,8710.0,197.95454545454547
7,EF065516.1,EF065516.1,"Bat coronavirus HKU9-4, complete genome",07-FEB-2007,['China: Guangdong province'],29155,bat,4247.0,151.67857142857142
8,EF065515.1,EF065515.1,"Bat coronavirus HKU9-3, complete genome",07-FEB-2007,['China: Guangdong province'],29136,bat,8239.0,183.0888888888889
9,EF065514.1,EF065514.1,"Bat coronavirus HKU9-2, complete genome",07-FEB-2007,['China: Guangdong province'],29107,bat,4372.0,124.91428571428571
