,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,ON128616.1,ON128616.1,"Human coronavirus HKU1 isolate GZFE18186, complete genome",2018-12-14,['China'],29883,Homo sapiens,189.0,94.5
1,ON128615.1,ON128615.1,"Human coronavirus HKU1 isolate GZFE18183, complete genome",2018-12-11,['China'],29886,Homo sapiens,189.0,94.5
2,ON128614.1,ON128614.1,"Human coronavirus HKU1 isolate GZFE18147, complete genome",2018-10-18,['China'],29886,Homo sapiens,189.0,94.5
3,ON128613.1,ON128613.1,"Human coronavirus HKU1 isolate GZFE18139, complete genome",2018-09-30,['China'],29883,Homo sapiens,189.0,94.5
4,ON128612.1,ON128612.1,"Human coronavirus HKU1 isolate WZ17244, complete genome",2018-10-30,['China'],29695,Homo sapiens,0.0,
5,ON128611.1,ON128611.1,"Human coronavirus HKU1 isolate WZ17198, complete genome",2018-05-26,['China'],29695,Homo sapiens,31.0,10.333333333333334
6,ON128610.1,ON128610.1,"Human coronavirus HKU1 isolate GY18102, complete genome",2018-06-05,['China'],29695,Homo sapiens,0.0,
7,ON128609.1,ON128609.1,"Human coronavirus HKU1 isolate BCH18024, complete genome",2018-05-29,['China'],29695,Homo sapiens,31.0,10.333333333333334
8,MH940245.1,MH940245.1,"Human coronavirus HKU1 isolate SI17244, complete genome",04-Jun-2017,['Thailand'],29811,Homo sapiens,183.0,36.6
9,HM034837.1,HM034837.1,"Human coronavirus HKU1 isolate Caen1, complete genome",04-Mar-2005,['France'],29862,Homo sapiens,10.0,5.0
10,OK073086.1,OK073086.1,"Human coronavirus HKU1 strain H78, complete genome",2015,['China'],29902,Homo sapiens,495.0,247.5
11,OK073085.1,OK073085.1,"Human coronavirus HKU1 strain R63, complete genome",2015,['China'],29953,Homo sapiens,495.0,247.5
12,LC315651.2,LC315651.2,"Human coronavirus HKU1 Tokyo/SGH-18/2016 RNA, complete genome",2016,['Japan: Tokyo'],29903,Homo sapiens,294.0,147.0
13,ON729317.1,ON729317.1,"Human coronavirus HKU1 strain SC770, partial genome",2017,['USA'],29580,Homo sapiens,30.0,15.0
14,KY983584.1,KY983584.1,"Human coronavirus HKU1 strain SC2628, complete genome",2015,['USA'],29932,Homo sapiens,135.0,67.5
15,LC654449.1,LC654449.1,"Human coronavirus HKU1 Fukushima_O943_2020 RNA, complete genome",2020,['Japan: Fukushima'],29897,Homo sapiens,285.0,95.0
