,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,NC_009020.1,NC_009020.1,"Pipistrellus bat coronavirus HKU5, complete genome",20-NOV-2020,['China: Guangdong province'],30482,bat,522.0,10.44
1,EF065509.1,EF065509.1,"Pipistrellus bat coronavirus HKU5, complete genome",01-FEB-2022,['China: Guangdong province'],30482,bat,522.0,10.44
2,MH002342.1,MH002342.1,"Pipistrellus bat coronavirus HKU5 isolate YD13403, complete genome",03-Jun-2013,['China'],30529,,428.0,10.19047619047619
3,MH002341.1,MH002341.1,"Pipistrellus bat coronavirus HKU5 isolate BY140562, complete genome",28-Jun-2014,['China'],30480,,500.0,10.416666666666666
4,MH002340.1,MH002340.1,"Pipistrellus bat coronavirus HKU5 isolate BY140535, complete genome",26-Jun-2014,['China'],30494,,382.0,10.324324324324325
5,KJ473820.1,KJ473820.1,"BtPa-BetaCoV/GD2013, complete genome",2013,['China'],30480,Pipistrellus abramus,588.0,10.31578947368421
6,EF065512.1,EF065512.1,"Bat coronavirus HKU5-5, complete genome",07-FEB-2007,['China: Guangdong province'],30487,bat,590.0,10.535714285714286
7,EF065511.1,EF065511.1,"Bat coronavirus HKU5-3, complete genome",07-FEB-2007,['China: Guangdong province'],30488,bat,590.0,10.535714285714286
8,EF065510.1,EF065510.1,"Bat coronavirus HKU5-2, complete genome",07-FEB-2007,['China: Guangdong province'],30488,bat,514.0,10.489795918367347
9,NC_009019.1,NC_009019.1,"Tylonycteris bat coronavirus HKU4, complete genome",20-NOV-2020,['China: Guangdong province'],30286,bat,298.0,10.642857142857142
