,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,MK967708.1,MK967708.1,"Middle East respiratory syndrome-related coronavirus isolate Merscov/Egypt/Camel/AHRI-FAO-1/2018, complete genome",2018,['Egypt'],30106,Camel,306.0,9.870967741935484
1,MN120514.1,MN120514.1,"Middle East respiratory syndrome-related coronavirus isolate 013, complete genome",28-Mar-2019,['Saudi Arabia'],30118,Homo sapiens,312.0,9.75
2,MH454272.1,MH454272.1,"Middle East respiratory syndrome-related coronavirus strain HCoV-EMC, complete genome",06-Dec-2016,['Saudi Arabia'],30119,Homo sapiens,324.0,9.818181818181818
3,MH306207.1,MH306207.1,"Middle East respiratory syndrome-related coronavirus strain HCoV-EMC, complete genome",01-Aug-2016,['Saudi Arabia'],30119,Homo sapiens,324.0,9.818181818181818
4,OP712625.1,OP712625.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/NC4714/2016, complete genome",07-Sep-2016,['Egypt'],30108,Camelus dromedarius,318.0,9.9375
5,OP712624.1,OP712624.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/NC4713/2016, complete genome",07-Sep-2016,['Egypt'],30108,Camelus dromedarius,318.0,9.9375
6,OP712623.1,OP712623.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/NC283/2015, complete genome",06-Jan-2015,['Egypt'],30102,Camelus dromedarius,306.0,9.870967741935484
7,OP654179.1,OP654179.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/NC270-P9/2015, complete genome",01-Jan-2015,['Egypt'],30131,Camelus dromedarius,306.0,9.870967741935484
8,OP654178.1,OP654178.1,"Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/dromedary camel/Egypt/NC282/2015, complete genome",06-Jan-2015,['Egypt'],30112,Camelus dromedarius,306.0,9.870967741935484
9,OK094454.1,OK094454.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C15/2019, complete genome",02-SEP-2022,,30112,,312.0,9.75
10,OK094453.1,OK094453.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C15/2019, complete genome",30-Apr-2019,['Kenya'],30112,camel,312.0,9.75
11,OK094452.1,OK094452.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C14/2019, complete genome",30-Apr-2019,['Kenya'],30112,camel,312.0,9.75
12,OK094451.1,OK094451.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C06/2019, complete genome",02-SEP-2022,,30112,,312.0,9.75
13,OK094450.1,OK094450.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C06/2019, complete genome",30-Apr-2019,['Kenya'],30112,camel,312.0,9.75
14,OK094449.1,OK094449.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C02/2019, complete genome",30-Apr-2019,['Kenya'],30112,camel,312.0,9.75
15,OK094448.1,OK094448.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C07/2019, complete genome",30-Apr-2019,['Kenya'],30112,camel,312.0,9.75
16,OK094447.1,OK094447.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C14/2019, complete genome",02-SEP-2022,,30112,,312.0,9.75
17,OK094446.1,OK094446.1,"Middle East respiratory syndrome-related coronavirus isolate Camel/Kenya/M23C07/2019, complete genome",02-SEP-2022,,30112,,312.0,9.75
