,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,ON335636.1,ON335636.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-QDX35777299/2022, complete genome",2022-04-09,['USA: New York'],29724,Homo sapiens,188.0,10.444444444444445
1,OP138284.1,OP138284.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-QDX39121882/2022, complete genome",2022-07-17,['USA: New Jersey'],29718,Homo sapiens,188.0,10.444444444444445
2,ON175124.1,ON175124.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-STM-MAXT368CG/2022, complete genome",2022-03-24,['USA: Texas'],29850,Homo sapiens,188.0,10.444444444444445
3,ON138448.1,ON138448.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AK-PHL18852/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b (ORF7b) and ORF8 protein (ORF8) genes, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds",2022-02-22,"['USA: Alaska, Anchorage-Mat Su']",29798,Homo sapiens,188.0,10.444444444444445
4,ON483335.1,ON483335.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MEX/ROO-1_3610/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",2021-10-06,['Mexico'],29803,Homo sapiens,188.0,10.444444444444445
5,OP641607.1,OP641607.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/22CV3303/2022 ORF1ab polyprotein (ORF1ab) gene, partial cds; and ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",2022-03-23,['New Zealand'],29652,Homo sapiens,188.0,10.444444444444445
6,OP944882.1,OP944882.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX43726988/2022, complete genome",2022-11-15,['USA: California'],29724,Homo sapiens,188.0,10.444444444444445
7,MW783267.1,MW783267.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-000027762/2021, complete genome",2021-02-28,['USA: Florida'],29896,Homo sapiens,188.0,10.444444444444445
8,MT972673.1,MT972673.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC3549/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",2020-07-06,['Australia: Victoria'],29793,Homo sapiens,188.0,10.444444444444445
9,ON284774.1,ON284774.1,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-009588_Illu1/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds",2021-05-17,['France'],29684,Homo sapiens,188.0,10.444444444444445
