,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,KY352407.1,KY352407.1,"Severe acute respiratory syndrome-related coronavirus strain BtKY72, complete genome",Aug-2007,['Kenya'],29274,Rhinolophus sp. (bat),2243.0,118.05263157894737
1,CQ903009.1,CQ903009.1,Sequence 13 from Patent WO2004094667,25-MAY-2020,,29727,,2374.0,263.77777777777777
2,KU973692.1,KU973692.1,"UNVERIFIED: Severe acute respiratory syndrome-related coronavirus isolate F46, complete genome",2012,['China'],29722,bat,3100.0,134.7826086956522
3,HW375992.1,HW375992.1,JP 2012255024-A/1: MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,18-FEB-2014,,29751,,2374.0,263.77777777777777
4,HW269828.1,HW269828.1,JP 2012105686-A/1: MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,16-OCT-2013,,29751,,2374.0,263.77777777777777
5,FJ959407.1,FJ959407.1,"SARS coronavirus isolate A001, complete genome",26-SEP-2009,['China'],29694,palm civet,2530.0,281.1111111111111
6,DQ898174.1,DQ898174.1,"SARS coronavirus strain CV7, complete genome",07-MAY-2009,['Canada'],29751,,2361.0,295.125
7,DQ497008.1,DQ497008.1,"SARS coronavirus strain MA-15, complete genome",20-MAR-2007,,29727,,2297.0,382.8333333333333
8,DL008527.1,DL008527.1,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,25-NOV-2009,,29746,,2361.0,295.125
9,DJ059765.1,DJ059765.1,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,25-NOV-2009,,29746,,2361.0,295.125
10,DJ045279.1,DJ045279.1,IMAGEABLE ANIMAL MODEL OF SARS INFECTION,25-NOV-2009,,29751,,2361.0,295.125
11,DL476508.1,DL476508.1,MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,22-DEC-2008,,29751,,2374.0,263.77777777777777
12,CS569493.1,CS569493.1,Sequence 1 from Patent WO2006039656,18-MAY-2007,,29751,,2374.0,263.77777777777777
13,CS254197.1,CS254197.1,Sequence 67 from Patent WO2004011647,17-JUL-2006,,29751,,2374.0,263.77777777777777
14,CS079029.1,CS079029.1,Sequence 17 from Patent WO2005035556,06-MAY-2005,,29736,,2398.0,149.875
15,CS079028.1,CS079028.1,Sequence 16 from Patent WO2005035556,06-MAY-2005,,29742,,2350.0,261.1111111111111
16,CS079027.1,CS079027.1,Sequence 15 from Patent WO2005035556,06-MAY-2005,,29727,,2361.0,295.125
17,CS079026.1,CS079026.1,Sequence 14 from Patent WO2005035556,06-MAY-2005,,29751,,2361.0,295.125
18,CQ918598.1,CQ918598.1,Sequence 15 from Patent WO2004096842,23-NOV-2004,,29751,,2361.0,295.125
19,CQ918585.1,CQ918585.1,Sequence 2 from Patent WO2004096842,23-NOV-2004,,29736,,2398.0,149.875
20,CQ918584.1,CQ918584.1,Sequence 1 from Patent WO2004096842,23-NOV-2004,,29736,,2398.0,149.875
21,MG772934.1,MG772934.1,"Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome",Jul-2015,['China'],29732,Rhinolophus pusillus,1556.0,194.5
22,MG772933.1,MG772933.1,"Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome",Feb-2017,['China'],29802,Rhinolophus pusillus,1556.0,194.5
23,AY278489.2,AY278489.2,"SARS coronavirus GD01, complete genome",15-APR-2021,,29757,,2333.0,166.64285714285714
24,NC_004718.3,NC_004718.3,"SARS coronavirus Tor2, complete genome",20-NOV-2020,['Canada: Toronto'],29751,Homo sapiens; patient #2 with severe acute respiratory syndrome (SARS),2361.0,295.125
25,JX163928.1,JX163928.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",05-Feb-2010,['USA'],29646,,2587.0,287.44444444444446
26,JX163927.1,JX163927.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",05-Feb-2010,['USA'],29646,,2587.0,287.44444444444446
27,JX163926.1,JX163926.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",10-Feb-2010,['USA'],29646,,2587.0,287.44444444444446
28,JX163925.1,JX163925.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",05-Feb-2010,['USA'],29646,,2587.0,287.44444444444446
29,JX163924.1,JX163924.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",05-Feb-2010,['USA'],29646,,2587.0,287.44444444444446
30,JX163923.1,JX163923.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",10-Feb-2010,['USA'],29646,,2587.0,287.44444444444446
31,AY274119.3,AY274119.3,"SARS coronavirus Tor2, complete genome",27-MAY-2020,['Canada: Toronto'],29751,Homo sapiens; patient #2 with severe acute respiratory syndrome (SARS),2361.0,295.125
32,KF294457.1,KF294457.1,"Bat SARS-like coronavirus isolate Longquan-140 orf1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",2012,['China'],29676,Rhinolophus monoceros,2636.0,94.14285714285714
33,MK062184.1,MK062184.1,"SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome",01-Jun-2017,['USA'],29874,Homo sapiens,2129.0,212.9
34,MK062183.1,MK062183.1,"SARS coronavirus Urbani isolate icSARS-C7, complete genome",31-May-2017,['USA'],29874,Homo sapiens,2128.0,212.8
35,MK062182.1,MK062182.1,"SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome",30-May-2017,['USA'],29727,Homo sapiens,2213.0,158.07142857142858
36,MK062181.1,MK062181.1,"SARS coronavirus Urbani isolate icSARS-C3, complete genome",29-May-2017,['USA'],29727,Homo sapiens,2213.0,158.07142857142858
37,MK062180.1,MK062180.1,"SARS coronavirus Urbani isolate icSARS-MA, complete genome",28-May-2017,['USA'],29727,Homo sapiens,2361.0,295.125
38,MK062179.1,MK062179.1,"SARS coronavirus Urbani isolate icSARS, complete genome",27-May-2017,['USA'],29727,Homo sapiens,2361.0,295.125
39,KY417152.1,KY417152.1,"Bat SARS-like coronavirus isolate Rs9401, complete genome",16-Oct-2015,['China'],29769,Rhinolophus sinicus,1913.0,106.27777777777777
40,KY417151.1,KY417151.1,"Bat SARS-like coronavirus isolate Rs7327, complete genome",24-Oct-2014,['China'],30307,Rhinolophus sinicus,1957.0,150.53846153846155
41,KY417150.1,KY417150.1,"Bat SARS-like coronavirus isolate Rs4874, complete genome",21-Jul-2013,['China'],30311,Rhinolophus sinicus,2553.0,170.2
42,KY417149.1,KY417149.1,"Bat SARS-like coronavirus isolate Rs4255, complete genome",17-Apr-2013,['China'],29743,Rhinolophus sinicus,2679.0,167.4375
43,KY417148.1,KY417148.1,"Bat SARS-like coronavirus isolate Rs4247, complete genome",17-Apr-2013,['China'],29743,Rhinolophus sinicus,2592.0,288.0
44,KY417147.1,KY417147.1,"Bat SARS-like coronavirus isolate Rs4237, complete genome",17-Apr-2013,['China'],29741,Rhinolophus sinicus,2735.0,210.3846153846154
45,KY417146.1,KY417146.1,"Bat SARS-like coronavirus isolate Rs4231, complete genome",17-Apr-2013,['China'],29782,Rhinolophus sinicus,2462.0,175.85714285714286
46,KY417145.1,KY417145.1,"Bat SARS-like coronavirus isolate Rf4092, complete genome",18-Sep-2012,['China'],29710,Rhinilophus ferrumequinum,1980.0,152.30769230769232
47,KY417144.1,KY417144.1,"Bat SARS-like coronavirus isolate Rs4084, complete genome",18-Sep-2012,['China'],29770,Rhinolophus sinicus,1744.0,218.0
48,KY417143.1,KY417143.1,"Bat SARS-like coronavirus isolate Rs4081, complete genome",18-Sep-2012,['China'],29741,Rhinolophus sinicus,2612.0,237.45454545454547
49,KY417142.1,KY417142.1,"Bat SARS-like coronavirus isolate As6526, complete genome",12-May-2014,['China'],29725,Aselliscus stoliczkanus,2385.0,140.2941176470588
50,KJ473816.1,KJ473816.1,"BtRs-BetaCoV/YN2013, complete genome",2013,['China'],29142,Rhinolophus sinicus,1781.0,222.625
51,KJ473815.1,KJ473815.1,"BtRs-BetaCoV/GX2013, complete genome",2013,['China'],29161,Rhinolophus sinicus,1452.0,181.5
52,KJ473814.1,KJ473814.1,"BtRs-BetaCoV/HuB2013, complete genome",2013,['China'],29658,Rhinolophus sinicus,2532.0,253.2
53,KJ473813.1,KJ473813.1,"BtRf-BetaCoV/SX2013, complete genome",2013,['China'],29461,Rhinolophus ferrumequinum,1993.0,153.30769230769232
54,KJ473812.1,KJ473812.1,"BtRf-BetaCoV/HeB2013, complete genome",2013,['China'],29443,Rhinolophus ferrumequinum,1372.0,98.0
55,KJ473811.1,KJ473811.1,"BtRf-BetaCoV/JL2012, complete genome",2012,['China'],29037,Rhinolophus ferrumequinum,2225.0,139.0625
56,JX993988.1,JX993988.1,"Bat coronavirus Cp/Yunnan2011, complete genome",2011,['China'],29452,Chaerephon plicata,2661.0,295.6666666666667
57,JX993987.1,JX993987.1,"Bat coronavirus Rp/Shaanxi2011, complete genome",Sep-2011,['China'],29484,Rhinolophus pusillus,3234.0,179.66666666666666
58,AY348314.1,AY348314.1,"SARS coronavirus Taiwan TC3, complete genome",25-JUL-2016,['Taiwan'],29573,,2355.0,294.375
59,AY338175.1,AY338175.1,"SARS coronavirus Taiwan TC2, complete genome",25-JUL-2016,,29573,,2355.0,294.375
60,AY338174.1,AY338174.1,"SARS coronavirus Taiwan TC1, complete genome",25-JUL-2016,,29573,,2355.0,294.375
61,AY278741.1,AY278741.1,"SARS coronavirus Urbani, complete genome",25-JUL-2016,,29727,,2361.0,295.125
62,DQ022305.2,DQ022305.2,"Bat SARS coronavirus HKU3-1, complete genome",25-OCT-2005,['China'],29728,,3088.0,220.57142857142858
63,DQ084200.1,DQ084200.1,"bat SARS coronavirus HKU3-3, complete genome",28-SEP-2005,,29711,,2512.0,157.0
64,DQ084199.1,DQ084199.1,"bat SARS coronavirus HKU3-2, complete genome",28-SEP-2005,,29687,,2542.0,141.22222222222223
65,KP886809.1,KP886809.1,"Bat SARS-like coronavirus YNLF_34C, complete genome",23-May-2013,['China'],29723,Rhinolophus Ferrumequinum,2325.0,332.14285714285717
66,KP886808.1,KP886808.1,"Bat SARS-like coronavirus YNLF_31C, complete genome",23-May-2013,['China'],29723,Rhinolophus Ferrumequinum,2269.0,378.1666666666667
67,KF514423.1,KF514423.1,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P20/2009, complete genome",08-Jul-2009,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
68,KF514422.1,KF514422.1,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.3P20/2010, complete genome",01-Oct-2010,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
69,KF514421.1,KF514421.1,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.2P20/2010, complete genome",01-Oct-2010,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
70,KF514420.1,KF514420.1,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P10/2009, complete genome",19-May-2009,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
71,KF514419.1,KF514419.1,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P10/2009, complete genome",19-May-2009,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
72,KF514418.1,KF514418.1,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P1/2009, complete genome",18-Mar-2009,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
73,KF514417.1,KF514417.1,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010, complete genome",01-Oct-2010,"['USA: Nashville, TN']",29687,,2405.0,126.57894736842105
