,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,LC710779.1,LC710779.1,"Avian coronavirus Beaudette-FUB RNA, complete genome",2016,['Germany'],27608,Gallus gallus,1740.0,248.57142857142858
1,MZ368698.1,MZ368698.1,"Avian coronavirus strain Beaudette, complete genome",17-Jul-2020,['Brazil'],27602,Gallus gallus,1740.0,248.57142857142858
2,MK071267.1,MK071267.1,Avian coronavirus AvCoV/Gallus gallus//H120 complete genome,27-MAY-2019,,27632,,1349.0,134.9
3,MG913343.1,MG913343.1,"Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 22/2013, complete genome",2013,['Brazil'],27605,Gallus gallus,1014.0,253.5
4,MG913342.1,MG913342.1,"Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 38/2013 GI-11, complete genome, complete genome",2013,['Brazil'],27618,Gallus gallus,802.0,200.5
5,MH021175.1,MH021175.1,"Avian coronavirus strain D274, complete genome",1979,['Netherlands'],27599,,1454.0,242.33333333333334
6,KY626045.1,KY626045.1,"Avian coronavirus strain Ma5, complete genome",2016,['Brazil'],27652,,1463.0,133.0
7,KY626044.1,KY626044.1,"Avian coronavirus strain BR-I, complete genome",2016,['Brazil'],27618,,1165.0,233.0
8,KX258195.1,KX258195.1,"Avian coronavirus isolate 23/2013, complete genome",2013,['Brazil'],27615,Gallus gallus,810.0,67.5
9,MW847253.1,MW847253.1,"Avian coronavirus isolate Beaudette-FU, complete genome",07-JUN-2022,['Germany'],27608,Gallus gallus,1740.0,248.57142857142858
10,MT984602.1,MT984602.1,"Avian coronavirus strain D20222/2/3/2012/RO, complete genome",2012,['Romania'],27791,Gallus gallus,1599.0,99.9375
11,MT984601.1,MT984601.1,"Avian coronavirus strain D4000/3/2017/RO, complete genome",2017,['Romania'],27779,Gallus gallus,786.0,131.0
12,MT984600.1,MT984600.1,"Avian coronavirus strain D2353/2013/PL, complete genome",2013,['Poland'],27348,Gallus gallus,2299.0,143.6875
13,MT984599.1,MT984599.1,"Avian coronavirus strain D2220/2/2013/GR, complete genome",2013,['Greece'],27787,Gallus gallus,1748.0,194.22222222222223
14,MT984598.1,MT984598.1,"Avian coronavirus strain D2002/2/2012/PT, complete genome",2012,['Portugal'],27659,Gallus gallus,838.0,139.66666666666666
15,MT984597.1,MT984597.1,"Avian coronavirus strain D1944/1/3/2012/RO, complete genome",2012,['Romania'],27642,Gallus gallus,1672.0,167.2
16,MT984596.1,MT984596.1,"Avian coronavirus strain D1871/1/1/2012/HU, complete genome",2012,['Hungary'],27636,Gallus gallus,1455.0,132.27272727272728
17,MT984595.1,MT984595.1,"Avian coronavirus strain D1783/2/3/2011/RO, complete genome",2011,['Romania'],27457,Gallus gallus,1888.0,209.77777777777777
18,MT984594.1,MT984594.1,"Avian coronavirus strain D1760/2/2/2011/GR, complete genome",2011,['Greece'],27594,Gallus gallus,988.0,247.0
19,MT984593.1,MT984593.1,"Avian coronavirus strain D1719/1/2011/GR, complete genome",2011,['Greece'],27633,Gallus gallus,1825.0,96.05263157894737
20,MT984592.1,MT984592.1,"Avian coronavirus strain D1656/2/2011/BY, complete genome",2011,['Belarus'],27666,Gallus gallus,1047.0,104.7
21,MT984591.1,MT984591.1,"Avian coronavirus strain D1654/1/4/2011/RO, complete genome",2011,['Romania'],27604,Gallus gallus,1663.0,127.92307692307692
22,MT984590.1,MT984590.1,"Avian coronavirus strain D1623/1/1/2011/HU, complete genome",2011,['Hungary'],27581,Gallus gallus,938.0,104.22222222222223
23,MT984589.1,MT984589.1,"Avian coronavirus strain D1617/3/2011/UA, complete genome",2011,['Ukraine'],27845,Gallus gallus,1341.0,191.57142857142858
24,MT984588.1,MT984588.1,"Avian coronavirus strain D1561/8/2011/HU, complete genome",2011,['Hungary'],27631,Gallus gallus,1349.0,134.9
25,MT984587.1,MT984587.1,"Avian coronavirus strain D1530/4/1/2010/RO, complete genome",2010,['Romania'],27598,Gallus gallus,1755.0,219.375
26,MT984586.1,MT984586.1,"Avian coronavirus strain D1530/2/3/2010/RO, complete genome",2010,['Romania'],27409,Gallus gallus,1192.0,91.6923076923077
27,MT984585.1,MT984585.1,"Avian coronavirus strain D1478/2/2/2010/GR, complete genome",2010,['Greece'],27547,Gallus gallus,1514.0,189.25
28,MT984584.1,MT984584.1,"Avian coronavirus strain 211776/Imrehegy/2011/HU, complete genome",2011,['Hungary'],27638,Gallus gallus,1328.0,147.55555555555554
29,MT984583.1,MT984583.1,"Avian coronavirus strain 11518/Kiskunmajsa/2010/HU, complete genome",2010,['Hungary'],27595,Gallus gallus,1867.0,98.26315789473684
30,MZ325300.1,MZ325300.1,"Avian coronavirus strain D2334/12/2/13/CI, complete genome",2013,"[""Cote d'Ivoire""]",27646,Gallus gallus,1046.0,174.33333333333334
31,MZ325299.1,MZ325299.1,"Avian coronavirus strain D2334/11/2/13/CI, complete genome",2013,"[""Cote d'Ivoire""]",27639,Gallus gallus,1232.0,205.33333333333334
32,MZ325298.1,MZ325298.1,"Avian coronavirus strain D2328/15/3/13/GH, complete genome",2013,['Ghana'],27616,Gallus gallus,1180.0,168.57142857142858
33,MZ325297.1,MZ325297.1,"Avian coronavirus strain D2326/4/13/CM, complete genome",2013,['Cameroon'],27671,Gallus gallus,851.0,70.91666666666667
34,MZ325296.1,MZ325296.1,"Avian coronavirus strain D2326/3/13/CM, complete genome",2013,['Cameroon'],27641,Gallus gallus,1003.0,167.16666666666666
35,MN757859.1,MN757859.1,"Avian coronavirus isolate CK/CR/1160/16, complete genome",05-Sep-2016,['Costa Rica'],27696,Gallus gallus (broiler),2269.0,113.45
36,MW351629.1,MW351629.1,"Avian coronavirus isolate IBV-rSD-H223A/H238A/K278A/Y334A, complete genome",2019,['China'],27692,chicken,892.0,99.11111111111111
37,MW351626.1,MW351626.1,"Avian coronavirus isolate IBV-rSD-K278A, complete genome",2019,['China'],27692,chicken,892.0,99.11111111111111
38,MW351625.1,MW351625.1,"Avian coronavirus isolate IBV-rSD-H238A, complete genome",2019,['China'],27692,chicken,892.0,99.11111111111111
39,MW351628.1,MW351628.1,"Avian coronavirus isolate IBV-rSD-Y334A, complete genome",2019,['China'],27692,chicken,892.0,99.11111111111111
40,MW351624.1,MW351624.1,"Avian coronavirus isolate IBV-rSD-H223A, complete genome",2019,['China'],27692,chicken,892.0,99.11111111111111
41,MW351623.1,MW351623.1,"Avian coronavirus isolate IBV-rSD, complete genome",2019,['China'],27692,chicken,892.0,99.11111111111111
42,MN262644.1,MN262644.1,"Avian coronavirus strain CV10, complete genome",2018,['Egypt'],27523,chicken,2537.0,181.21428571428572
43,MK204411.1,MK204411.1,"Avian coronavirus non-structural polyprotein (ORF1ab), spike protein (S), 3a (3a), 3b (3b), envelope protein (3c), membrane glycoprotein, 5a (5a), 5b (5b), and nucleocapsid (N) genes, complete cds",2017,['Australia: Victoria'],28482,Tadorna tadornoides,2199.0,199.9090909090909
44,MK204393.1,MK204393.1,"Avian coronavirus non-structural polyprotein (ORF1ab) and spike protein (S) genes, complete cds",2017,['Australia: Victoria'],29105,Anas gracilis,2734.0,118.8695652173913
