,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,KY352407.1,KY352407.1,"Severe acute respiratory syndrome-related coronavirus strain BtKY72, complete genome",Aug-2007,['Kenya'],29274,Rhinolophus sp. (bat),532.0,10.64
1,CQ903009.1,CQ903009.1,Sequence 13 from Patent WO2004094667,25-MAY-2020,,29727,,538.0,10.346153846153847
2,KU973692.1,KU973692.1,"UNVERIFIED: Severe acute respiratory syndrome-related coronavirus isolate F46, complete genome",2012,['China'],29722,bat,458.0,10.409090909090908
3,HW375992.1,HW375992.1,JP 2012255024-A/1: MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,18-FEB-2014,,29751,,538.0,10.346153846153847
4,HW269828.1,HW269828.1,JP 2012105686-A/1: MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,16-OCT-2013,,29751,,538.0,10.346153846153847
5,HI553383.1,HI553383.1,Sequence 41 from Patent EP2139515,02-NOV-2010,,29751,,968.0,10.408602150537634
6,FV537213.1,FV537213.1,Modified Microbial Nucleic Acid,18-MAR-2010,,29751,,0.0,0.0
7,FV537212.1,FV537212.1,Modified Microbial Nucleic Acid,18-MAR-2010,,29751,,0.0,0.0
8,FV537211.1,FV537211.1,Modified Microbial Nucleic Acid,18-MAR-2010,,29751,,48.0,12.0
9,FV537210.1,FV537210.1,Modified Microbial Nucleic Acid,18-MAR-2010,,29751,,48.0,12.0
10,FJ959407.1,FJ959407.1,"SARS coronavirus isolate A001, complete genome",26-SEP-2009,['China'],29694,palm civet,538.0,10.346153846153847
11,DQ898174.1,DQ898174.1,"SARS coronavirus strain CV7, complete genome",07-MAY-2009,['Canada'],29751,,538.0,10.346153846153847
12,DQ497008.1,DQ497008.1,"SARS coronavirus strain MA-15, complete genome",20-MAR-2007,,29727,,538.0,10.346153846153847
13,DL008527.1,DL008527.1,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,25-NOV-2009,,29746,,538.0,10.346153846153847
14,DJ059765.1,DJ059765.1,NOVEL STRAIN OF SARS-ASSOCIATED CORONAVIRUS AND APPLICATIONS THEREOF,25-NOV-2009,,29746,,538.0,10.346153846153847
15,DJ045279.1,DJ045279.1,IMAGEABLE ANIMAL MODEL OF SARS INFECTION,25-NOV-2009,,29751,,538.0,10.346153846153847
16,DL476508.1,DL476508.1,MODIFIED SMALL INTERFERING RNA MOLECULES AND METHODS OF USE,22-DEC-2008,,29751,,538.0,10.346153846153847
17,CS569493.1,CS569493.1,Sequence 1 from Patent WO2006039656,18-MAY-2007,,29751,,538.0,10.346153846153847
18,CS480537.1,CS480537.1,Sequence 11 from Patent WO2006136448,19-FEB-2007,,37971,,776.0,10.210526315789474
19,CS460762.1,CS460762.1,Sequence 11 from Patent EP1736539,03-JAN-2007,,37971,,776.0,10.210526315789474
20,CS254197.1,CS254197.1,Sequence 67 from Patent WO2004011647,17-JUL-2006,,29751,,538.0,10.346153846153847
21,CS079029.1,CS079029.1,Sequence 17 from Patent WO2005035556,06-MAY-2005,,29736,,538.0,10.346153846153847
22,CS079028.1,CS079028.1,Sequence 16 from Patent WO2005035556,06-MAY-2005,,29742,,538.0,10.346153846153847
23,CS079027.1,CS079027.1,Sequence 15 from Patent WO2005035556,06-MAY-2005,,29727,,538.0,10.346153846153847
24,CS079026.1,CS079026.1,Sequence 14 from Patent WO2005035556,06-MAY-2005,,29751,,538.0,10.346153846153847
25,CQ918598.1,CQ918598.1,Sequence 15 from Patent WO2004096842,23-NOV-2004,,29751,,538.0,10.346153846153847
26,CQ918585.1,CQ918585.1,Sequence 2 from Patent WO2004096842,23-NOV-2004,,29736,,538.0,10.346153846153847
27,CQ918584.1,CQ918584.1,Sequence 1 from Patent WO2004096842,23-NOV-2004,,29736,,538.0,10.346153846153847
28,MG772934.1,MG772934.1,"Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome",Jul-2015,['China'],29732,Rhinolophus pusillus,294.0,10.5
29,MG772933.1,MG772933.1,"Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome",Feb-2017,['China'],29802,Rhinolophus pusillus,312.0,10.758620689655173
30,AY278489.2,AY278489.2,"SARS coronavirus GD01, complete genome",15-APR-2021,,29757,,538.0,10.346153846153847
31,NC_004718.3,NC_004718.3,"SARS coronavirus Tor2, complete genome",20-NOV-2020,['Canada: Toronto'],29751,Homo sapiens; patient #2 with severe acute respiratory syndrome (SARS),538.0,10.346153846153847
32,JX163928.1,JX163928.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",05-Feb-2010,['USA'],29646,,538.0,10.346153846153847
33,JX163927.1,JX163927.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",05-Feb-2010,['USA'],29646,,538.0,10.346153846153847
34,JX163926.1,JX163926.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",10-Feb-2010,['USA'],29646,,538.0,10.346153846153847
35,JX163925.1,JX163925.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10895, complete genome",05-Feb-2010,['USA'],29646,,538.0,10.346153846153847
36,JX163924.1,JX163924.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10851, complete genome",05-Feb-2010,['USA'],29646,,538.0,10.346153846153847
37,JX163923.1,JX163923.1,"SARS coronavirus Tor2 isolate Tor2/FP1-10912, complete genome",10-Feb-2010,['USA'],29646,,538.0,10.346153846153847
38,AY274119.3,AY274119.3,"SARS coronavirus Tor2, complete genome",27-MAY-2020,['Canada: Toronto'],29751,Homo sapiens; patient #2 with severe acute respiratory syndrome (SARS),538.0,10.346153846153847
39,KF294457.1,KF294457.1,"Bat SARS-like coronavirus isolate Longquan-140 orf1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds",2012,['China'],29676,Rhinolophus monoceros,332.0,10.375
40,MK062184.1,MK062184.1,"SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome",01-Jun-2017,['USA'],29874,Homo sapiens,538.0,10.346153846153847
41,MK062183.1,MK062183.1,"SARS coronavirus Urbani isolate icSARS-C7, complete genome",31-May-2017,['USA'],29874,Homo sapiens,538.0,10.346153846153847
42,MK062182.1,MK062182.1,"SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome",30-May-2017,['USA'],29727,Homo sapiens,538.0,10.346153846153847
43,MK062181.1,MK062181.1,"SARS coronavirus Urbani isolate icSARS-C3, complete genome",29-May-2017,['USA'],29727,Homo sapiens,538.0,10.346153846153847
44,MK062180.1,MK062180.1,"SARS coronavirus Urbani isolate icSARS-MA, complete genome",28-May-2017,['USA'],29727,Homo sapiens,538.0,10.346153846153847
45,MK062179.1,MK062179.1,"SARS coronavirus Urbani isolate icSARS, complete genome",27-May-2017,['USA'],29727,Homo sapiens,538.0,10.346153846153847
46,KY417152.1,KY417152.1,"Bat SARS-like coronavirus isolate Rs9401, complete genome",16-Oct-2015,['China'],29769,Rhinolophus sinicus,446.0,10.372093023255815
47,KY417151.1,KY417151.1,"Bat SARS-like coronavirus isolate Rs7327, complete genome",24-Oct-2014,['China'],30307,Rhinolophus sinicus,450.0,10.465116279069768
48,KY417150.1,KY417150.1,"Bat SARS-like coronavirus isolate Rs4874, complete genome",21-Jul-2013,['China'],30311,Rhinolophus sinicus,468.0,10.4
49,KY417149.1,KY417149.1,"Bat SARS-like coronavirus isolate Rs4255, complete genome",17-Apr-2013,['China'],29743,Rhinolophus sinicus,492.0,10.46808510638298
50,KY417148.1,KY417148.1,"Bat SARS-like coronavirus isolate Rs4247, complete genome",17-Apr-2013,['China'],29743,Rhinolophus sinicus,548.0,10.538461538461538
51,KY417147.1,KY417147.1,"Bat SARS-like coronavirus isolate Rs4237, complete genome",17-Apr-2013,['China'],29741,Rhinolophus sinicus,564.0,10.641509433962264
52,KY417146.1,KY417146.1,"Bat SARS-like coronavirus isolate Rs4231, complete genome",17-Apr-2013,['China'],29782,Rhinolophus sinicus,490.0,10.652173913043478
53,KY417145.1,KY417145.1,"Bat SARS-like coronavirus isolate Rf4092, complete genome",18-Sep-2012,['China'],29710,Rhinilophus ferrumequinum,456.0,10.604651162790697
