,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,NC_009019.1,NC_009019.1,"Tylonycteris bat coronavirus HKU4, complete genome",20-NOV-2020,['China: Guangdong province'],30286,bat,525.0,58.333333333333336
1,EF065505.1,EF065505.1,"Tylonycteris bat coronavirus HKU4, complete genome",01-FEB-2022,['China: Guangdong province'],30286,bat,525.0,58.333333333333336
2,MW218395.1,MW218395.1,"Tylonycteris bat coronavirus HKU4 isolate SM3A, complete genome",16-Aug-2010,['Hong Kong'],30248,Tylonycteris pachypus,0.0,
3,MH002339.1,MH002339.1,"Tylonycteris bat coronavirus HKU4 isolate SZ140324, complete genome",23-Apr-2014,['China'],30280,,495.0,247.5
4,MH002338.1,MH002338.1,"Tylonycteris bat coronavirus HKU4 isolate CZ07, complete genome",01-Nov-2012,['China'],30252,,475.0,67.85714285714286
5,MH002337.1,MH002337.1,"Tylonycteris bat coronavirus HKU4 isolate CZ01, complete genome",01-Nov-2012,['China'],30255,,103.0,25.75
6,KJ473822.1,KJ473822.1,"BtTp-BetaCoV/GX2012, complete genome",2012,['China'],30247,Tylonycteris pachypus,495.0,247.5
7,DQ648794.1,DQ648794.1,"Bat coronavirus (BtCoV/133/2005), complete genome",19-JUL-2006,,30307,,928.0,132.57142857142858
8,EF065508.1,EF065508.1,"Bat coronavirus HKU4-4, complete genome",07-FEB-2007,['China: Guangdong province'],30316,bat,495.0,247.5
9,EF065507.1,EF065507.1,"Bat coronavirus HKU4-3, complete genome",07-FEB-2007,['China: Guangdong province'],30286,bat,525.0,58.333333333333336
10,EF065506.1,EF065506.1,"Bat coronavirus HKU4-2, complete genome",07-FEB-2007,['China: Guangdong province'],30286,bat,525.0,58.333333333333336
11,NC_009020.1,NC_009020.1,"Pipistrellus bat coronavirus HKU5, complete genome",20-NOV-2020,['China: Guangdong province'],30482,bat,6161.0,116.24528301886792
