,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,MN477915.1,MN477915.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN2727 genomic sequence,06-Aug-2011,['China'],28216,H.larvatus,1955.0,177.72727272727272
1,MN477914.1,MN477914.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN2714 genomic sequence,06-Aug-2011,['China'],28216,H.larvatus,2141.0,194.63636363636363
2,MN477913.1,MN477913.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7496 genomic sequence,03-Nov-2014,['Laos'],28021,A.stoliczkanus,1828.0,182.8
3,MN477912.1,MN477912.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7565 genomic sequence,03-Nov-2014,['Laos'],28529,H.pomona,451.0,150.33333333333334
4,MN477911.1,MN477911.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7560 genomic sequence,03-Nov-2014,['Laos'],28523,H.pomona,401.0,57.285714285714285
5,MN477910.1,MN477910.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7557 genomic sequence,03-Nov-2014,['Laos'],28529,H.pomona,451.0,150.33333333333334
6,MN477909.1,MN477909.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7549 genomic sequence,03-Nov-2014,['Laos'],28523,H.pomona,450.0,75.0
7,MN477908.1,MN477908.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7546 genomic sequence,03-Nov-2014,['Laos'],28514,H.pomona,980.0,163.33333333333334
8,MN477907.1,MN477907.1,UNVERIFIED: Bat coronavirus HKU10 isolate HN140937 genomic sequence,19-Jul-2014,['China'],28589,H.pomona,877.0,292.3333333333333
9,MN477906.1,MN477906.1,UNVERIFIED: Bat coronavirus HKU10 isolate GD141402 genomic sequence,03-Sep-2014,['China'],28490,H.pomona,245.0,40.833333333333336
10,MN477905.1,MN477905.1,UNVERIFIED: Bat coronavirus HKU10 isolate GD141391 genomic sequence,03-Sep-2014,['China'],28490,H.pomona,245.0,40.833333333333336
11,MN477904.1,MN477904.1,UNVERIFIED: Bat coronavirus HKU10 isolate GX160935 genomic sequence,Jun-2016,['China'],28514,H.pomona,596.0,119.2
12,MN477903.1,MN477903.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN7345 genomic sequence,26-Oct-2014,['China'],28512,H.pomona,622.0,88.85714285714286
13,MN477902.1,MN477902.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN4996 genomic sequence,21-Jul-2013,['China'],28513,H.pomona,221.0,110.5
14,MN477901.1,MN477901.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN3740 genomic sequence,06-Aug-2012,['China'],28540,H.pomona,1159.0,77.26666666666667
15,MN477900.1,MN477900.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN3723 genomic sequence,06-Aug-2012,['China'],28519,H.pomona,772.0,128.66666666666666
16,MN477899.1,MN477899.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN887 genomic sequence,Sep-2006,['China'],28534,H.pomona,700.0,116.66666666666667
17,NC_018871.1,NC_018871.1,"Rousettus bat coronavirus HKU10, complete genome",Oct-2005,['China'],28494,bat,259.0,64.75
18,JQ989273.1,JQ989273.1,"Hipposideros bat coronavirus HKU10 isolate TLC1347A, complete genome",Aug-2010,['Hong Kong'],28483,bat,240.0,60.0
19,JQ989272.1,JQ989272.1,"Hipposideros bat coronavirus HKU10 isolate TLC1343A, complete genome",Aug-2010,['Hong Kong'],28483,bat,293.0,41.857142857142854
20,JQ989271.1,JQ989271.1,"Rousettus bat coronavirus HKU10 isolate 175A, complete genome",Oct-2005,['China'],28489,bat,52.0,17.333333333333332
21,JQ989270.1,JQ989270.1,"Rousettus bat coronavirus HKU10 isolate 183A, complete genome",Oct-2005,['China'],28494,bat,259.0,64.75
22,JQ989269.1,JQ989269.1,"Hipposideros bat coronavirus HKU10 isolate LSH5A, complete genome",Dec-2005,['Hong Kong'],28492,bat,198.0,99.0
23,JQ989268.1,JQ989268.1,"Hipposideros bat coronavirus HKU10 isolate TLC1310A, complete genome",Oct-2006,['Hong Kong'],28483,bat,198.0,99.0
24,JQ989267.1,JQ989267.1,"Hipposideros bat coronavirus HKU10 isolate SL12A, complete genome",Dec-2006,['Hong Kong'],28483,bat,198.0,99.0
25,JQ989266.1,JQ989266.1,"Hipposideros bat coronavirus HKU10 isolate TT3A, complete genome",Dec-2006,['Hong Kong'],28483,bat,198.0,99.0
26,MN611523.1,MN611523.1,"Hipposideros pomona bat coronavirus HKU10-related isolate 160942, complete genome",Mar-2018,['China'],28514,Hipposideros pomona,596.0,119.2
