,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,LC216915.1,LC216915.1,"Coronavirus HKU15 genomic RNA, complete genome, strain: S582N",2014-02-13,['Hong Kong'],25406,Sus scrofa domesticus,130.0,10.0
1,LC216914.1,LC216914.1,"Coronavirus HKU15 genomic RNA, complete genome, strain: S579N",2014-02-13,['Hong Kong'],25422,Sus scrofa domesticus,178.0,9.88888888888889
2,MN200481.1,MN200481.1,"Coronavirus HKU15 isolate SD2018/300, complete genome",2018,['China: Shandong'],25410,swine,130.0,10.0
3,KJ620016.1,KJ620016.1,"Porcine coronavirus HKU15 strain MI6148, complete genome",18-Mar-2014,['USA: Michigan'],25422,pig,148.0,9.866666666666667
4,KJ584359.1,KJ584359.1,"Porcine coronavirus HKU15 strain NE3579, complete genome",21-Feb-2014,['USA: Nebraska'],25422,pig,148.0,9.866666666666667
5,KJ584358.1,KJ584358.1,"Porcine coronavirus HKU15 strain PA3148, complete genome",18-Feb-2014,['USA: Pennsylvania'],25422,pig,148.0,9.866666666666667
6,KJ584357.1,KJ584357.1,"Porcine coronavirus HKU15 strain KY4813, complete genome",07-Mar-2014,['USA: Kentucky'],25422,pig,188.0,9.894736842105264
7,KJ584356.1,KJ584356.1,"Porcine coronavirus HKU15 strain SD3424, complete genome",20-Feb-2014,['USA: South Dakota'],25422,pig,148.0,9.866666666666667
8,KJ584355.1,KJ584355.1,"Porcine coronavirus HKU15 strain IL2768, complete genome",12-Feb-2014,['USA: Ohio'],25422,pig,148.0,9.866666666666667
9,KJ569769.1,KJ569769.1,"Porcine coronavirus HKU15 strain IN2847, complete genome",13-Feb-2014,['USA: Ohio'],25422,pig,148.0,9.866666666666667
10,NC_039208.1,NC_039208.1,"Porcine coronavirus HKU15 strain HKU15-155, complete genome",2010,['China: Hong Kong'],25425,pig,148.0,9.866666666666667
11,JQ065043.2,JQ065043.2,"Porcine coronavirus HKU15 strain HKU15-155, complete genome",2010,['China: Hong Kong'],25425,pig,148.0,9.866666666666667
12,JQ065042.2,JQ065042.2,"Porcine coronavirus HKU15 strain HKU15-44, complete genome",2009,['China: Hong Kong'],25430,pig,152.0,10.133333333333333
13,KT381613.1,KT381613.1,"Porcine coronavirus HKU15 strain OH11846, complete genome",07-May-2014,['USA: Ohio'],25422,pig,148.0,9.866666666666667
14,KM012168.1,KM012168.1,"Porcine coronavirus HKU15 strain Michigan/8977/2014, complete genome",17-Mar-2014,['USA: Michigan'],25411,pig,148.0,9.866666666666667
15,KJ462462.1,KJ462462.1,"Porcine coronavirus HKU15 strain OH1987, complete genome",31-Jan-2014,['USA: Ohio'],25422,pig,148.0,9.866666666666667
16,OK649355.1,OK649355.1,"UNVERIFIED: Porcine deltacoronavirus isolate CHN-HA-2017, complete genome",17-Dec-2017,['China'],25443,piglet,150.0,10.0
17,OM047182.1,OM047182.1,"Porcine deltacoronavirus isolate CHN-SCMY2021-01, complete genome",02-Apr-2021,['China'],25381,pig,148.0,9.866666666666667
18,OP566509.1,OP566509.1,"Porcine deltacoronavirus isolate vPDCoV YRQ/2016, complete genome",2016,['China'],25418,swine,182.0,10.11111111111111
19,MT260150.1,MT260150.1,"Porcine deltacoronavirus isolate HNZK-02-P15, complete genome",2018-06-05,['China'],25453,swine,170.0,10.0
