,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,OL348059.1,OL348059.1,"Porcine epidemic diarrhea virus strain XJ1904-34, complete genome",20-Apr-2019,['China: Xinjiang'],28035,pig,522.0,10.235294117647058
1,OL704806.1,OL704806.1,"Mutant Porcine epidemic diarrhea virus clone PEDV-MN_5UTR-CV777_S--MN_L375F_H486P, complete genome",14-NOV-2022,,28037,,544.0,10.074074074074074
2,OP245917.1,OP245917.1,"Porcine epidemic diarrhea virus strain SDTA13-2020, complete genome",2020,['China'],28038,porcine,556.0,10.10909090909091
3,OL347994.1,OL347994.1,"Porcine epidemic diarrhea virus isolate CMMZH2110, complete genome",Oct-2021,['China'],28038,porcine,572.0,10.214285714285714
4,MZ977202.1,MZ977202.1,"Porcine epidemic diarrhea virus strain CH/2018, complete genome",Oct-2018,['China'],27929,swine,526.0,10.115384615384615
5,MZ787937.1,MZ787937.1,"Porcine epidemic diarrhea virus strain HN_VN, complete genome",20-Aug-2018,['Viet Nam: Ha noi'],28031,pig,558.0,10.145454545454545
6,MZ787936.1,MZ787936.1,"Porcine epidemic diarrhea virus strain TQ_VN, complete genome",20-Jun-2018,['Viet Nam: Tuyen Quang'],28031,pig,494.0,10.081632653061224
7,MZ712170.1,MZ712170.1,"Porcine epidemic diarrhea virus strain PEDV-KB2013-130, complete genome",16-OCT-2022,['China'],28038,Sus scrofa,492.0,10.040816326530612
8,MZ540767.1,MZ540767.1,"Porcine epidemic diarrhea virus isolate JS-2020-12, complete genome",2020-12,['China'],27962,porcine,450.0,10.227272727272727
9,MZ364316.1,MZ364316.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/2473/2019, complete genome",17-Jan-2019,['China:Guangxi'],28044,porcine,506.0,10.12
10,MZ364315.1,MZ364315.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/2467/2019, complete genome",11-Jan-2019,['China:Guangxi'],28038,porcine,506.0,10.326530612244898
11,MZ364314.1,MZ364314.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/2373/2018, complete genome",14-Nov-2018,['China:Guangxi'],28035,porcine,504.0,10.285714285714286
