,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,MT350598.1,MT350598.1,"Rousettus bat coronavirus GCCDC1, complete genome",Oct-2016,['Singapore'],30162,Eonycteris spelaea,9203.0,127.81944444444444
1,MZ293755.1,MZ293755.1,"Rousettus bat coronavirus isolate SBB-797, complete genome",02-Oct-2008,['Bangladesh'],29109,Rousettus leschenaultii,3791.0,180.52380952380952
2,MZ293754.1,MZ293754.1,"Rousettus bat coronavirus isolate SBB-788, complete genome",02-Oct-2008,['Bangladesh'],29100,Rousettus leschenaultii,3405.0,200.2941176470588
3,MZ293753.1,MZ293753.1,"Rousettus bat coronavirus isolate SBB-747, complete genome",05-Sep-2008,['Bangladesh'],29095,Rousettus leschenaultii,3248.0,141.2173913043478
4,MZ293752.1,MZ293752.1,"Rousettus bat coronavirus isolate SBB-726, complete genome",14-Jul-2012,['Bangladesh'],29112,Rousettus leschenaultii,3448.0,111.2258064516129
5,MZ293756.1,MZ293756.1,"Rousettus bat coronavirus isolate SBB-943, complete genome",27-Aug-2012,['Bangladesh'],29090,Rousettus leschenaultii,4759.0,169.96428571428572
6,MZ293739.1,MZ293739.1,"Rousettus bat coronavirus isolate PREDICT/GCS-242, complete genome",10-May-2013,['Rwanda'],29125,Rousettus aegyptiacus,5680.0,162.28571428571428
7,NC_030886.1,NC_030886.1,"Rousettus bat coronavirus isolate GCCDC1 356, complete genome",28-May-2014,['China'],30161,Rousettus leschenaulti,8725.0,223.71794871794873
8,KU762338.1,KU762338.1,"Rousettus bat coronavirus isolate GCCDC1 356, complete genome",28-May-2014,['China'],30161,Rousettus leschenaulti,8725.0,223.71794871794873
9,KU762337.1,KU762337.1,"Rousettus bat coronavirus isolate GCCDC1 346, partial genome",28-May-2014,['China'],30118,Rousettus leschenaulti,6987.0,162.48837209302326
