,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,MN477915.1,MN477915.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN2727 genomic sequence,06-Aug-2011,['China'],28216,H.larvatus,166.0,10.375
1,MN477914.1,MN477914.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN2714 genomic sequence,06-Aug-2011,['China'],28216,H.larvatus,184.0,10.222222222222221
2,MN477913.1,MN477913.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7496 genomic sequence,03-Nov-2014,['Laos'],28021,A.stoliczkanus,384.0,10.666666666666666
3,MN477912.1,MN477912.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7565 genomic sequence,03-Nov-2014,['Laos'],28529,H.pomona,294.0,10.5
4,MN477911.1,MN477911.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7560 genomic sequence,03-Nov-2014,['Laos'],28523,H.pomona,338.0,10.242424242424242
5,MN477910.1,MN477910.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7557 genomic sequence,03-Nov-2014,['Laos'],28529,H.pomona,294.0,10.5
6,MN477909.1,MN477909.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7549 genomic sequence,03-Nov-2014,['Laos'],28523,H.pomona,338.0,10.242424242424242
7,MN477908.1,MN477908.1,UNVERIFIED: Bat coronavirus HKU10 isolate LA7546 genomic sequence,03-Nov-2014,['Laos'],28514,H.pomona,282.0,10.444444444444445
8,MN477907.1,MN477907.1,UNVERIFIED: Bat coronavirus HKU10 isolate HN140937 genomic sequence,19-Jul-2014,['China'],28589,H.pomona,238.0,10.818181818181818
9,MN477906.1,MN477906.1,UNVERIFIED: Bat coronavirus HKU10 isolate GD141402 genomic sequence,03-Sep-2014,['China'],28490,H.pomona,420.0,10.24390243902439
10,MN477905.1,MN477905.1,UNVERIFIED: Bat coronavirus HKU10 isolate GD141391 genomic sequence,03-Sep-2014,['China'],28490,H.pomona,420.0,10.24390243902439
11,MN477904.1,MN477904.1,UNVERIFIED: Bat coronavirus HKU10 isolate GX160935 genomic sequence,Jun-2016,['China'],28514,H.pomona,400.0,10.526315789473685
12,MN477903.1,MN477903.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN7345 genomic sequence,26-Oct-2014,['China'],28512,H.pomona,260.0,10.4
13,MN477902.1,MN477902.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN4996 genomic sequence,21-Jul-2013,['China'],28513,H.pomona,256.0,11.130434782608695
14,MN477901.1,MN477901.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN3740 genomic sequence,06-Aug-2012,['China'],28540,H.pomona,272.0,10.461538461538462
15,MN477900.1,MN477900.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN3723 genomic sequence,06-Aug-2012,['China'],28519,H.pomona,270.0,11.25
16,MN477899.1,MN477899.1,UNVERIFIED: Bat coronavirus HKU10 isolate YN887 genomic sequence,Sep-2006,['China'],28534,H.pomona,360.0,10.588235294117647
17,NC_018871.1,NC_018871.1,"Rousettus bat coronavirus HKU10, complete genome",Oct-2005,['China'],28494,bat,246.0,10.25
18,JQ989273.1,JQ989273.1,"Hipposideros bat coronavirus HKU10 isolate TLC1347A, complete genome",Aug-2010,['Hong Kong'],28483,bat,166.0,10.375
19,JQ989272.1,JQ989272.1,"Hipposideros bat coronavirus HKU10 isolate TLC1343A, complete genome",Aug-2010,['Hong Kong'],28483,bat,166.0,10.375
20,JQ989271.1,JQ989271.1,"Rousettus bat coronavirus HKU10 isolate 175A, complete genome",Oct-2005,['China'],28489,bat,246.0,10.25
21,JQ989270.1,JQ989270.1,"Rousettus bat coronavirus HKU10 isolate 183A, complete genome",Oct-2005,['China'],28494,bat,246.0,10.25
22,JQ989269.1,JQ989269.1,"Hipposideros bat coronavirus HKU10 isolate LSH5A, complete genome",Dec-2005,['Hong Kong'],28492,bat,232.0,10.545454545454545
23,JQ989268.1,JQ989268.1,"Hipposideros bat coronavirus HKU10 isolate TLC1310A, complete genome",Oct-2006,['Hong Kong'],28483,bat,232.0,10.545454545454545
24,JQ989267.1,JQ989267.1,"Hipposideros bat coronavirus HKU10 isolate SL12A, complete genome",Dec-2006,['Hong Kong'],28483,bat,232.0,10.545454545454545
25,JQ989266.1,JQ989266.1,"Hipposideros bat coronavirus HKU10 isolate TT3A, complete genome",Dec-2006,['Hong Kong'],28483,bat,232.0,10.545454545454545
26,MN611523.1,MN611523.1,"Hipposideros pomona bat coronavirus HKU10-related isolate 160942, complete genome",Mar-2018,['China'],28514,Hipposideros pomona,400.0,10.526315789473685
