,Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
20851,OP987053.1,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2022-12-12T00:00:00Z,BQ.1.1.4,4.1.3/1.17/v0.1.10/0.3.17,True,MA-CDCBI-CRSP_3XA5C3H6OG7AH2JH,Severe acute respiratory syndrome-related coronavirus,29798,USA: Massachusetts,USA,MA,Homo sapiens,,2022-11-28
21149,OP987351.1,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2022-12-12T00:00:00Z,BQ.1.1.4,4.1.3/1.17/v0.1.10/0.3.17,True,MA-CDCBI-CRSP_RICPI4QHNOXX7RTS,Severe acute respiratory syndrome-related coronavirus,29401,USA: Massachusetts,USA,MA,Homo sapiens,,2022-11-27
25274,OP992974.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-12T00:00:00Z,BE.1.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,IN-CDC-LC0945473,Severe acute respiratory syndrome-related coronavirus,29720,USA: Indiana,USA,IN,Homo sapiens,oronasopharynx,2022-11-27
27479,OP996775.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-12T00:00:00Z,BF.7.6,4.1.3/1.17/v0.1.10/0.3.17,True,GA-CDC-QDX44021079,Severe acute respiratory syndrome-related coronavirus,29718,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,2022-11-26
28548,OP998866.1,"Johnson,E.J., Malone,D., Benoit,J., Willmon,T.M., Griego-Fisher,A.M.","New Mexico Department of Health Scientific Laboratory, Molecular Biology",USA,2022-12-12T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,NMDOH-2022130833,Severe acute respiratory syndrome-related coronavirus,29718,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2022-09-01
29790,OP982240.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-09T00:00:00Z,BF.10,4.1.3/1.17/v0.1.10/0.3.17,True,IL-CDC-QDX43797496,Severe acute respiratory syndrome-related coronavirus,29718,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-11-16
31018,OP983468.1,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2022-12-09T00:00:00Z,BE.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-221130402777,Severe acute respiratory syndrome-related coronavirus,29770,USA,USA,,Homo sapiens,,2022-11-23
34306,OP969716.1,"Ellison,R.T., Simon,K.J., Ward,D.V.","UMass Med Sch, Center for Microbiome Research",USA,2022-12-08T00:00:00Z,unclassifiable,4.1.3/1.17/v0.1.10/0.3.17,,202153557,Severe acute respiratory syndrome-related coronavirus,29701,USA: MA,USA,MA,Homo sapiens,oronasopharynx,2022-05-16
37828,OP965905.1,"Blankenship,H., Riner,D., Soehnlen,M.","Michigan Department of Health and Human Services, Bureau of Laboratories",USA,2022-12-07T00:00:00Z,BQ.1,4.1.3/1.17/v0.1.10/0.3.17,True,MI-MDHHS-SC43158,Severe acute respiratory syndrome-related coronavirus,29628,USA: Michigan,USA,MI,Homo sapiens,swab,2022-11-24
38860,OP955168.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-06T00:00:00Z,BE.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,NC-CDC-LC0940370,Severe acute respiratory syndrome-related coronavirus,29496,USA: North Carolina,USA,NC,Homo sapiens,oronasopharynx,2022-11-21
40548,OP961862.1,"Johnson,E.J., Malone,D., Benoit,J., Willmon,T.M., Griego-Fisher,A.M.","New Mexico Department of Health Scientific Laboratory, Molecular Biology",USA,2022-12-06T00:00:00Z,BF.28,4.1.3/1.17/v0.1.10/0.3.17,True,NMDOH-2022098737,Severe acute respiratory syndrome-related coronavirus,29728,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2022-07-01
