,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,ON313747.1,ON313747.1,"UNVERIFIED: Alphacoronavirus 1 isolate CDAB0492R, partial genome",2018-06-03,['Republic of the Congo'],27989,Mops condylurus,218.0,9.909090909090908
1,KP849472.1,KP849472.1,"Alphacoronavirus 1 strain 23/03, complete genome",2003,['Italy'],30004,,196.0,9.8
2,MH817484.1,MH817484.1,"Feline alphacoronavirus 1 strain FCoV-SB22, complete genome",2015,['Brazil'],29137,Felis catus,102.0,9.272727272727273
3,OP715781.1,OP715781.1,"MAG: Tadarida brasiliensis bat alphacoronavirus 1 isolate Tb1, complete genome",28-Nov-2017,['Argentina'],28844,Tadarida brasiliensis,354.0,9.833333333333334
4,OM030318.1,OM030318.1,"Jingmen Myotis ricketti alphacoronavirus 1 isolate JSB_DaZu, complete genome",2016,['China'],28090,Myotis ricketti,204.0,9.714285714285714
5,MZ328303.1,MZ328303.1,"Wenzhou Suncus murinus alphacoronavirus 1, complete genome",2016,['China'],25940,Suncus murinus,104.0,10.4
6,MZ328302.1,MZ328302.1,"Jingmen Apodemus agrarius alphacoronavirus 1, complete genome",2016,['China'],27382,Apodemus agrarius,262.0,9.357142857142858
7,MZ328301.1,MZ328301.1,"Longquan Berylmys bowersi alphacoronavirus 1, complete genome",2016,['China'],28660,Berylmys bowersi,308.0,9.935483870967742
8,MZ328299.1,MZ328299.1,"Jingmen Miniopterus schreibersii alphacoronavirus 1, complete genome",2016,['China'],28041,Miniopterus schreibersii,382.0,9.794871794871796
9,MZ328298.1,MZ328298.1,"Jingmen Myotis chinensis alphacoronavirus 1, complete genome",2016,['China'],27914,Myotis chinensis,632.0,10.711864406779661
10,ON595871.1,ON595871.1,"MAG: Feline coronavirus isolate HC-10, complete genome",2018,['Australia'],29258,Felis catus,76.0,9.5
11,ON595870.1,ON595870.1,"MAG: Feline coronavirus isolate HC-9, complete genome",2018,['Australia'],29271,Felis catus,166.0,9.764705882352942
12,ON595869.1,ON595869.1,"MAG: Feline coronavirus isolate HC-8, complete genome",2018,['Australia'],29265,Felis catus,110.0,10.0
13,ON595868.1,ON595868.1,"MAG: Feline coronavirus isolate HC-7, complete genome",2018,['Australia'],29296,Felis catus,78.0,9.75
14,ON595867.1,ON595867.1,"MAG: Feline coronavirus isolate HC-6, complete genome",2018,['Australia'],29299,Felis catus,78.0,9.75
15,ON595866.1,ON595866.1,"MAG: Feline coronavirus isolate HC-5, complete genome",2018,['Australia'],29288,Felis catus,78.0,9.75
16,ON595863.1,ON595863.1,"MAG: Feline coronavirus isolate HC-2 ORF1ab and ORF1a genes, partial cds; and S, ORF3a, ORF3b, E, M, N, ORF7a, and ORF7b genes, complete cds",2018,['Australia'],28806,Felis catus,78.0,9.75
17,ON595862.1,ON595862.1,"MAG: Feline coronavirus isolate HC-1, complete genome",2018,['Australia'],29314,Felis catus,156.0,9.75
18,ON595858.1,ON595858.1,"MAG: Feline coronavirus isolate FPV-6, complete genome",2017,['Australia'],29334,Felis catus,74.0,9.25
19,ON595857.1,ON595857.1,"MAG: Feline coronavirus isolate FPV-5, complete genome",2017,['Australia'],29347,Felis catus,68.0,9.714285714285714
20,ON595856.1,ON595856.1,"MAG: Feline coronavirus isolate FPV-4, complete genome",2017,['Australia'],29333,Felis catus,46.0,9.2
21,ON595855.1,ON595855.1,"MAG: Feline coronavirus isolate FPV-3, complete genome",2017,['Australia'],29287,Felis catus,172.0,9.555555555555555
22,ON595854.1,ON595854.1,"MAG: Feline coronavirus isolate FPV-2, complete genome",2017,['Australia'],29260,Felis catus,152.0,9.5
23,ON595853.1,ON595853.1,"MAG: Feline coronavirus isolate FPV-1, complete genome",2017,['Australia'],29293,Felis catus,126.0,9.692307692307692
24,OX335623.1,OX335623.1,"Canine coronavirus isolate 61/22 genome assembly, chromosome: 1",04-OCT-2022,,29139,,148.0,9.866666666666667
25,OX335549.1,OX335549.1,"Canine coronavirus isolate 12/20 genome assembly, chromosome: 1",04-OCT-2022,,29321,,88.0,9.777777777777779
26,OX335548.1,OX335548.1,"Canine coronavirus isolate 62/22 genome assembly, chromosome: 1",04-OCT-2022,,29245,,182.0,9.578947368421053
27,OX335546.1,OX335546.1,"Canine coronavirus isolate 59/22 genome assembly, chromosome: 1",04-OCT-2022,,29213,,170.0,9.444444444444445
28,OX335545.1,OX335545.1,"Canine coronavirus isolate 38/22 genome assembly, chromosome: 1",04-OCT-2022,,29240,,182.0,9.578947368421053
29,OX335541.1,OX335541.1,"Canine coronavirus isolate 11/22 genome assembly, chromosome: 1",04-OCT-2022,,29268,,184.0,9.68421052631579
30,OX335535.1,OX335535.1,"Canine coronavirus isolate 13/22 genome assembly, chromosome: 1",04-OCT-2022,,29218,,182.0,9.578947368421053
31,OX335534.1,OX335534.1,"Canine coronavirus isolate 10/22 genome assembly, chromosome: 1",04-OCT-2022,,29311,,182.0,9.578947368421053
32,OX335530.1,OX335530.1,"Canine coronavirus isolate 46/22 genome assembly, chromosome: 1",04-OCT-2022,,29206,,182.0,9.578947368421053
33,OP434397.1,OP434397.1,"Transmissible gastroenteritis virus strain HN-2012 orf1ab polyprotein, replicase polyprotein 1a, spike protein, 3b protein, envelope protein, membrane protein, nucleoprotein, and non-structural protein 7 genes, complete cds",2012,['China'],28398,porcine,164.0,10.25
34,MZ322950.1,MZ322950.1,"Transmissible gastroenteritis virus strain CH/GX/TGEV/2662/2019, complete genome",21-Apr-2019,['China: Guangxi'],28458,porcine,164.0,10.25
35,ON859974.1,ON859974.1,"Transmissible gastroenteritis virus isolate HNSQ-2021, complete genome",2021-02-10,['China'],28597,swine,182.0,10.11111111111111
36,MZ320954.1,MZ320954.1,"Canine coronavirus isolate CCoV/GD/2020/X9, complete genome",Feb-2020,['China'],28807,Rhizomys sinensis,222.0,10.090909090909092
37,MZ320953.1,MZ320953.1,"UNVERIFIED: Canine coronavirus isolate CCoV/GD/2020/X8, complete genome",Feb-2020,['China'],28823,Rhizomys sinensis,268.0,9.925925925925926
