,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,OM397541.1,OM397541.1,"Betacoronavirus 1 isolate ISR1127, complete genome",24-Jan-2019,['Israel'],30992,Oryx leucoryx,212.0,10.095238095238095
1,OP020177.1,OP020177.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L4, complete genome",Apr-2019,['Australia: New South Wales'],30955,Bos taurus L4,222.0,10.090909090909092
2,OP020176.1,OP020176.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L3, complete genome",Apr-2019,['Australia: New South Wales'],30983,Bos taurus L3,288.0,10.285714285714286
3,OP020175.1,OP020175.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L1, complete genome",Apr-2019,['Australia: New South Wales'],30757,Bos taurus L1,222.0,10.090909090909092
4,OP020174.1,OP020174.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L9, complete genome",Apr-2019,['Australia: New South Wales'],30869,Bos taurus L9,288.0,10.285714285714286
5,MW802581.1,MW802581.1,"Betacoronavirus 1 isolate GCCDC3, complete genome",20-Jan-2017,['China'],31256,Rattus norvegicus,442.0,10.045454545454545
6,MW773844.1,MW773844.1,"Betacoronavirus 1 strain GCCDC4, complete genome",07-Mar-2017,['China'],31383,Rattus norvegicus,388.0,10.486486486486486
7,MH685718.1,MH685718.1,"Betacoronavirus 1 isolate E0-034 ORF1ab gene, complete cds; ORF1ab gene, partial cds; and NS2a, HE, S, NS5a, and N genes, complete cds",2013,['Uganda'],30520,Homo sapiens,170.0,10.0
8,KU558923.1,KU558923.1,"Betacoronavirus 1 isolate Buffalo coronavirus B1-28F, complete genome",01-Oct-2014,['Bangladesh'],30985,Bubalus bubalis,248.0,9.92
9,KU558922.1,KU558922.1,"Betacoronavirus 1 isolate Buffalo coronavirus B1-24F, complete genome",01-Oct-2014,['Bangladesh'],31039,Bubalus bubalis,308.0,10.266666666666667
10,MZ328297.1,MZ328297.1,"Wenzhou Pipistrellus abramus betacoronavirus 1, complete genome",2016,['China'],30429,Pipistrellus abramus,502.0,10.91304347826087
11,MZ328296.1,MZ328296.1,"Jingmen Apodemus agrarius betacoronavirus 1 isolate SYS_heixian, partial genome",2016,['China'],30822,Apodemus agrarius,456.0,10.133333333333333
12,MZ328295.1,MZ328295.1,"Longquan Niviventer niviventer betacoronavirus 1 isolate LQS_she, partial genome",2016,['China'],30810,Niviventer niviventer,154.0,9.625
13,MZ328294.1,MZ328294.1,"Jingmen Rhinolophus sinicus betacoronavirus 1, complete genome",2016,['China'],29627,Rhinolophus sinicus,332.0,11.066666666666666
14,OP866729.1,OP866729.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_B277a/2021, complete genome",20-Dec-2021,['China'],31034,Dairy Calves,350.0,10.0
15,OP866728.1,OP866728.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_B298/2021, complete genome",20-Dec-2021,['China'],31044,Dairy Calves,308.0,10.266666666666667
16,OP866727.1,OP866727.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_F226/2021, complete genome",20-Dec-2021,['China'],31034,Dairy Calves,382.0,10.052631578947368
17,OP866726.1,OP866726.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_B277b/2021, complete genome",20-Dec-2021,['China'],31023,Dairy Calves,382.0,10.052631578947368
18,KY994645.1,KY994645.1,"Porcine hemagglutinating encephalomyelitis virus strain JL/2008, complete genome",21-Aug-2008,['China'],30684,piglet,358.0,10.228571428571428
19,OK073088.1,OK073088.1,"Human coronavirus OC43 strain H31, complete genome",2014,['China'],30742,Homo sapiens,246.0,10.25
20,OK073092.1,OK073092.1,"Human coronavirus OC43 strain R125, partial genome",2016,['China'],30615,Homo sapiens,170.0,10.0
21,OK073091.1,OK073091.1,"Human coronavirus OC43 strain R67, complete genome",2015,['China'],30711,Homo sapiens,236.0,10.26086956521739
22,OK073090.1,OK073090.1,"Human coronavirus OC43 strain P43, complete genome",2017,['China'],30752,Homo sapiens,258.0,10.32
23,OK073089.1,OK073089.1,"Human coronavirus OC43 strain H49, complete genome",2015,['China'],30749,Homo sapiens,258.0,10.32
24,OK073087.1,OK073087.1,"Human coronavirus OC43 strain H10, complete genome",2014,['China'],30742,Homo sapiens,250.0,10.416666666666666
25,OP296992.1,OP296992.1,"Bovine coronavirus isolate p95, complete genome",24-Mar-2017,['Taiwan'],31032,bovine,308.0,10.266666666666667
26,ON142320.1,ON142320.1,"Bovine coronavirus isolate BCoV7/2021/CHN, complete genome",2021,['China'],31008,cow,316.0,9.875
27,ON142319.1,ON142319.1,"Bovine coronavirus isolate BCoV6/2021/CHN, complete genome",2021,['China'],31043,cow,318.0,9.9375
28,ON142318.1,ON142318.1,"UNVERIFIED: Bovine coronavirus isolate BCoV5/2021/CHN, complete genome",2021,['China'],31009,cow,360.0,10.285714285714286
29,ON142317.1,ON142317.1,"Bovine coronavirus isolate BCoV4/2021/CHN, complete genome",2021,['China'],30994,cow,294.0,9.8
30,ON142316.1,ON142316.1,"Bovine coronavirus isolate BCoV3/2021/CHN, complete genome",2021,['China'],31010,cow,328.0,10.25
31,ON142315.1,ON142315.1,"Bovine coronavirus isolate BCoV1/2021/CHN, complete genome",2021,['China'],31008,cow,328.0,10.25
32,LC654454.1,LC654454.1,"Human coronavirus OC43 Fukushima_H148_2018 RNA, complete genome",2018,['Japan: Fukushima'],30740,Homo sapiens,258.0,10.32
33,ON453891.1,ON453891.1,"Equine coronavirus isolate CH-CVP3, complete genome",2021,['Switzerland'],30884,Equus caballus,100.0,10.0
34,ON453890.1,ON453890.1,"Equine coronavirus isolate CH-ZH39, complete genome",2015,['Switzerland'],30913,Equus caballus,166.0,10.375
35,OP037442.1,OP037442.1,"Bovine coronavirus isolate VDC/2022/07/E, partial genome",2022,['USA: Oregon'],31002,bovine,268.0,9.925925925925926
36,OP037441.1,OP037441.1,"Bovine coronavirus isolate VDC/2022/06/E, partial genome",2022,['USA: Nebraska'],31006,bovine,326.0,10.1875
37,OP037440.1,OP037440.1,"Bovine coronavirus isolate VDC/2022/05/E, partial genome",2022,['USA: Nebraska'],31033,bovine,334.0,10.121212121212121
38,OP037439.1,OP037439.1,"Bovine coronavirus isolate VDC/2022/04/E, partial genome",2022,['USA: Nebraska'],31010,bovine,326.0,10.1875
39,OP037438.1,OP037438.1,"Bovine coronavirus isolate VDC/2022/03/E, partial genome",2022,['USA: South_Dakota'],31016,bovine,326.0,10.1875
40,OP037437.1,OP037437.1,"Bovine coronavirus isolate VDC/2022/02/E, partial genome",2022,['USA: South_Dakota'],31001,bovine,326.0,10.1875
41,OP037436.1,OP037436.1,"Bovine coronavirus isolate VDC/2022/01/E, partial genome",2022,['USA: Kansas'],31023,bovine,320.0,10.32258064516129
42,OP037435.1,OP037435.1,"Bovine coronavirus isolate VDC/2019/06/E, partial genome",2019,['USA: Nebraska'],31008,bovine,326.0,10.1875
43,OP037434.1,OP037434.1,"Bovine coronavirus isolate VDC/2019/05/E, partial genome",2019,['USA: Nebraska'],31015,bovine,326.0,10.1875
44,OP037433.1,OP037433.1,"Bovine coronavirus isolate VDC/2019/04/E, partial genome",2019,['USA: Nebraska'],31007,bovine,326.0,10.1875
45,OP037432.1,OP037432.1,"Bovine coronavirus isolate VDC/2019/03/E, partial genome",2019,['USA: Nebraska'],31008,bovine,350.0,10.294117647058824
46,OP037431.1,OP037431.1,"Bovine coronavirus isolate VDC/2019/02/E, partial genome",2019,['USA: Nebraska'],31016,bovine,382.0,10.324324324324325
47,OP037430.1,OP037430.1,"Bovine coronavirus isolate VDC/2019/01/R, partial genome",2019,['USA: Nebraska'],31014,bovine,350.0,10.294117647058824
48,OP037429.1,OP037429.1,"Bovine coronavirus isolate VDC/2019/01/E, partial genome",2019,['USA: Nebraska'],31011,bovine,326.0,10.1875
49,OP037428.1,OP037428.1,"Bovine coronavirus isolate VDC/2018/13/E, partial genome",2018,['USA: Nebraska'],31006,bovine,326.0,10.1875
50,OP037427.1,OP037427.1,"Bovine coronavirus isolate VDC/2018/12/E, partial genome",2018,['USA: Nebraska'],31008,bovine,382.0,10.324324324324325
51,OP037426.1,OP037426.1,"Bovine coronavirus isolate VDC/2018/11/E, partial genome",2018,['USA: Nebraska'],31014,bovine,326.0,10.1875
52,OP037425.1,OP037425.1,"Bovine coronavirus isolate VDC/2018/10/E, partial genome",2018,['USA: Nebraska'],31012,bovine,326.0,10.1875
53,OP037424.1,OP037424.1,"Bovine coronavirus isolate VDC/2018/09/E, partial genome",2018,['USA: Nebraska'],31008,bovine,326.0,10.1875
54,OP037423.1,OP037423.1,"Bovine coronavirus isolate VDC/2018/08/E, partial genome",2018,['USA: Pennsylvania'],31014,bovine,382.0,10.324324324324325
55,OP037422.1,OP037422.1,"Bovine coronavirus isolate VDC/2018/07/E, partial genome",2018,['USA: Nebraska'],31016,bovine,326.0,10.1875
56,OP037421.1,OP037421.1,"Bovine coronavirus isolate VDC/2018/06/E, partial genome",2018,['USA: Nebraska'],31011,bovine,302.0,10.066666666666666
57,OP037420.1,OP037420.1,"Bovine coronavirus isolate VDC/2018/05/R, partial genome",2018,['USA: Nebraska'],30989,bovine,260.0,10.0
58,OP037419.1,OP037419.1,"Bovine coronavirus isolate VDC/2018/04/R, partial genome",2018,['USA: Nebraska'],31005,bovine,382.0,10.324324324324325
59,OP037418.1,OP037418.1,"Bovine coronavirus isolate VDC/2018/03/R, partial genome",2018,['USA: Nebraska'],31007,bovine,326.0,10.1875
60,OP037417.1,OP037417.1,"Bovine coronavirus isolate VDC/2018/02/R, partial genome",2018,['USA: Wyoming'],31008,bovine,302.0,10.066666666666666
61,OP037416.1,OP037416.1,"Bovine coronavirus isolate VDC/2018/01/R, partial genome",2018,['USA: Nebraska'],31006,bovine,382.0,10.324324324324325
62,OP037415.1,OP037415.1,"Bovine coronavirus isolate VDC/2017/02/E&N, partial genome",2017,['USA: Nebraska'],31009,bovine,382.0,10.324324324324325
63,OP037414.1,OP037414.1,"Bovine coronavirus isolate VDC/2017/01/E, partial genome",2017,['USA: Nebraska'],30988,bovine,316.0,10.193548387096774
64,OP037413.1,OP037413.1,"Bovine coronavirus isolate SDSU/2022/04/R, partial genome",2022,['USA: Nebraska'],30730,bovine,260.0,10.0
65,OP037412.1,OP037412.1,"Bovine coronavirus isolate SDSU/2022/03/R, partial genome",2022,['USA: Nebraska'],30840,bovine,348.0,10.235294117647058
66,OP037411.1,OP037411.1,"Bovine coronavirus isolate SDSU/2022/02/R, partial genome",2022,['USA: Nebraska'],30875,bovine,260.0,10.0
67,OP037410.1,OP037410.1,"Bovine coronavirus isolate SDSU/2022/01/R, partial genome",2022,['USA: Nebraska'],30918,bovine,260.0,10.0
68,OP037409.1,OP037409.1,"Bovine coronavirus isolate SDSU/2021/06/R, partial genome",2021,['USA: North_Dakota'],30822,bovine,260.0,10.0
69,OP037408.1,OP037408.1,"Bovine coronavirus isolate SDSU/2021/05/R, partial genome",2021,['USA: California'],31021,bovine,326.0,10.1875
70,OP037407.1,OP037407.1,"Bovine coronavirus isolate SDSU/2021/04/R, partial genome",2021,['USA: Texas'],30968,bovine,262.0,10.076923076923077
71,OP037406.1,OP037406.1,"Bovine coronavirus isolate SDSU/2021/03/R, partial genome",2021,['USA: Texas'],30941,bovine,260.0,10.0
72,OP037405.1,OP037405.1,"Bovine coronavirus isolate SDSU/2021/02/R, partial genome",2021,['USA: Nebraska'],30842,bovine,260.0,10.0
73,OP037404.1,OP037404.1,"Bovine coronavirus isolate SDSU/2021/01/R, partial genome",2021,['USA: Colorado'],30909,bovine,272.0,10.074074074074074
74,OP037403.1,OP037403.1,"Bovine coronavirus isolate SDSU/2020/07/R, partial genome",2020,['USA: Minnesota'],30956,bovine,326.0,10.1875
75,OP037402.1,OP037402.1,"Bovine coronavirus isolate SDSU/2020/06/R, partial genome",2020,['USA: Nebraska'],31007,bovine,326.0,10.1875
76,OP037401.1,OP037401.1,"Bovine coronavirus isolate SDSU/2020/05/R, partial genome",2020,['USA: Minnesota'],31016,bovine,326.0,10.1875
