,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,OL348059.1,OL348059.1,"Porcine epidemic diarrhea virus strain XJ1904-34, complete genome",20-Apr-2019,['China: Xinjiang'],28035,pig,2519.0,167.93333333333334
1,OL704806.1,OL704806.1,"Mutant Porcine epidemic diarrhea virus clone PEDV-MN_5UTR-CV777_S--MN_L375F_H486P, complete genome",14-NOV-2022,,28037,,3013.0,215.21428571428572
2,OP245917.1,OP245917.1,"Porcine epidemic diarrhea virus strain SDTA13-2020, complete genome",2020,['China'],28038,porcine,2677.0,140.89473684210526
3,OL347994.1,OL347994.1,"Porcine epidemic diarrhea virus isolate CMMZH2110, complete genome",Oct-2021,['China'],28038,porcine,2295.0,153.0
4,MZ977202.1,MZ977202.1,"Porcine epidemic diarrhea virus strain CH/2018, complete genome",Oct-2018,['China'],27929,swine,2325.0,110.71428571428571
5,MZ787937.1,MZ787937.1,"Porcine epidemic diarrhea virus strain HN_VN, complete genome",20-Aug-2018,['Viet Nam: Ha noi'],28031,pig,3261.0,217.4
6,MZ787936.1,MZ787936.1,"Porcine epidemic diarrhea virus strain TQ_VN, complete genome",20-Jun-2018,['Viet Nam: Tuyen Quang'],28031,pig,1933.0,241.625
7,MZ712170.1,MZ712170.1,"Porcine epidemic diarrhea virus strain PEDV-KB2013-130, complete genome",16-OCT-2022,['China'],28038,Sus scrofa,2603.0,118.31818181818181
8,MZ540767.1,MZ540767.1,"Porcine epidemic diarrhea virus isolate JS-2020-12, complete genome",2020-12,['China'],27962,porcine,2008.0,125.5
9,MZ364316.1,MZ364316.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/2473/2019, complete genome",17-Jan-2019,['China:Guangxi'],28044,porcine,1598.0,159.8
10,MZ364315.1,MZ364315.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/2467/2019, complete genome",11-Jan-2019,['China:Guangxi'],28038,porcine,1865.0,133.21428571428572
11,MZ364314.1,MZ364314.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/2373/2018, complete genome",14-Nov-2018,['China:Guangxi'],28035,porcine,2277.0,189.75
12,MZ364313.1,MZ364313.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/1984/2018, complete genome",27-Feb-2018,['China:Guangxi'],28038,porcine,2594.0,136.52631578947367
13,MZ364312.1,MZ364312.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/1939/2018, complete genome",15-Jan-2018,['China:Guangxi'],28044,porcine,1705.0,189.44444444444446
14,MZ364311.1,MZ364311.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/1902/2017, complete genome",22-Dec-2017,['China:Guangxi'],28044,porcine,1778.0,222.25
15,MZ364310.1,MZ364310.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/1401/2016, complete genome",08-Dec-2016,['China:Guangxi'],28044,porcine,1980.0,165.0
16,MZ364309.1,MZ364309.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/1008/2016, complete genome",29-May-2016,['China:Guangxi'],28035,porcine,2514.0,139.66666666666666
17,MZ364308.1,MZ364308.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/997/2016, complete genome",05-May-2016,['China:Guangxi'],28035,porcine,2514.0,139.66666666666666
18,MZ364307.1,MZ364307.1,"Porcine epidemic diarrhea virus strain CH/GX/PEDV/938/2016, complete genome",29-Feb-2016,['China:Guangxi'],28044,porcine,2514.0,139.66666666666666
19,MZ380292.1,MZ380292.1,"Porcine epidemic diarrhea virus isolate CHHN2016, complete genome",Jul-2016,['China'],28046,swine,2499.0,178.5
20,OP191700.1,OP191700.1,"Porcine epidemic diarrhea virus strain PEDV GD/HZ/2016, complete genome",2016,['China'],28038,pig,2300.0,328.57142857142856
21,MZ241108.1,MZ241108.1,"Porcine epidemic diarrhea virus isolate SXSL, complete genome",25-Dec-2020,['China'],28038,suckling pigs,2353.0,294.125
22,OK584017.1,OK584017.1,"Porcine epidemic diarrhea virus isolate HN2021, complete genome",May-2021,['China'],28064,porcine,2278.0,78.55172413793103
23,OL446967.1,OL446967.1,"Porcine epidemic diarrhea virus isolate CH/HNPDS/2021, complete genome",2021,['China'],28032,swine,2241.0,112.05
24,OL446966.1,OL446966.1,"UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HNKF/2020, complete genome",2020,['China'],27970,swine,2298.0,95.75
25,ON155919.1,ON155919.1,"Porcine epidemic diarrhea virus isolate NH-TA2020, complete genome",12-Mar-2020,['China'],28055,Sus scrofa,2384.0,149.0
26,ON649885.1,ON649885.1,"Porcine epidemic diarrhea virus strain JS-B, complete genome",30-Dec-2021,['China'],28039,Sus scrofa,2223.0,111.15
27,OM914738.1,OM914738.1,"Porcine epidemic diarrhea virus isolate CH/HLJBQL/2022, complete genome",20-Nov-2021,"['China: Jiamusi, Heilongjiang Province']",28095,porcine,1929.0,62.225806451612904
28,ON968723.1,ON968723.1,"Porcine epidemic diarrhea virus isolate CH/HLJJS/2022, complete genome",20-Mar-2022,['China: Heilongjiang Province'],28097,porcine,1302.0,144.66666666666666
29,MZ604716.1,MZ604716.1,"Porcine epidemic diarrhea virus strain YN17, complete genome",2016-10-20,['China'],28034,Sus scrofa,2468.0,176.28571428571428
30,OL411879.1,OL411879.1,"Porcine epidemic diarrhea virus strain SC2021, complete genome",Aug-2021,['China'],28015,porcine,2539.0,282.1111111111111
31,OM814174.1,OM814174.1,"Porcine epidemic diarrhea virus strain CN19, complete genome",04-Jul-2019,['China'],27899,swine,2285.0,120.26315789473684
32,OM393722.1,OM393722.1,"Porcine epidemic diarrhea virus isolate PEDV/CH/XC/2020, complete genome",Sep-2020,['China'],28128,swine,1854.0,168.54545454545453
33,MW560717.1,MW560717.1,"Porcine epidemic diarrhea virus isolate KNU-1907-8, complete genome",2019,['South Korea'],28038,pig,3302.0,366.8888888888889
34,MW560716.1,MW560716.1,"Porcine epidemic diarrhea virus isolate KNU-1907-3, complete genome",2019,['South Korea'],28038,pig,3312.0,368.0
35,MW560715.1,MW560715.1,"Porcine epidemic diarrhea virus isolate KNU-1907, complete genome",2019,['South Korea'],28038,pig,3312.0,368.0
36,OL762461.1,OL762461.1,"Porcine epidemic diarrhea virus strain PEDV TRS2021, complete genome",Jan-2021,['China'],28038,swine,2449.0,128.89473684210526
37,OL762460.1,OL762460.1,"Porcine epidemic diarrhea virus strain PEDV JX2020, complete genome",Dec-2020,['China'],28038,swine,2093.0,190.27272727272728
38,OL762459.1,OL762459.1,"Porcine epidemic diarrhea virus strain PEDV SD2021, complete genome",Apr-2021,['China'],28038,swine,2345.0,156.33333333333334
39,OL762458.1,OL762458.1,"Porcine epidemic diarrhea virus strain PEDV SDLY2020, complete genome",Oct-2020,['China'],28038,swine,2065.0,93.86363636363636
40,OL762457.1,OL762457.1,"Porcine epidemic diarrhea virus strain PEDV HK2021, complete genome",Feb-2021,['China'],28035,swine,2692.0,269.2
41,OL762456.1,OL762456.1,"Porcine epidemic diarrhea virus strain PEDV SD2020, complete genome",Sep-2020,['China'],28038,swine,2465.0,145.0
42,MZ342899.1,MZ342899.1,"Porcine epidemic diarrhea virus isolate PEDV HM, complete genome",2017,['China'],28064,Sus scrofa,2382.0,183.23076923076923
43,MW386982.1,MW386982.1,"Porcine epidemic diarrhea virus isolate JX2020, complete genome",Dec-2020,['China'],28052,Sus scrofa; breed: Gannan Black Small-eared Pig,2060.0,206.0
44,MW561264.1,MW561264.1,"Porcine epidemic diarrhea virus strain CH/HLJ/18, complete genome",2018,['China'],28029,pig,2502.0,227.45454545454547
45,MZ581326.1,MZ581326.1,"Porcine epidemic diarrhea virus strain YN150, complete genome",20-Jul-2017,['China'],28028,Sus scrofa,2243.0,118.05263157894737
46,MT787025.1,MT787025.1,"Porcine epidemic diarrhea virus strain PEDV CH/SX/2016, complete genome",2016-12,['China'],28036,porcine,1888.0,157.33333333333334
47,MT783684.1,MT783684.1,"Porcine epidemic diarrhea virus strain PEDV CH/SX/2015, complete genome",2016-04,['China'],27960,porcine,1932.0,128.8
48,MZ803010.1,MZ803010.1,"Porcine epidemic diarrhea virus isolate PEDV/UG/Canada/Ontario/2014, complete genome",2014,['Canada'],28028,Sus scrofa,2512.0,86.62068965517241
49,MZ325487.1,MZ325487.1,"Porcine epidemic diarrhea virus isolate 44176/1, complete genome",27-Dec-2016,['Poland'],28021,pig,2625.0,145.83333333333334
50,MZ325486.1,MZ325486.1,"Porcine epidemic diarrhea virus isolate 6706/2, complete genome",07-Apr-2016,['Poland'],27998,pig,1832.0,91.6
51,MZ325485.1,MZ325485.1,"Porcine epidemic diarrhea virus isolate 0100/2M, complete genome",03-Jan-2017,['Poland'],28034,pig,2353.0,130.72222222222223
52,MZ325484.1,MZ325484.1,"Porcine epidemic diarrhea virus isolate 0100/1L, complete genome",03-Jan-2017,['Poland'],28019,pig,2092.0,110.10526315789474
53,MZ313557.1,MZ313557.1,"Porcine epidemic diarrhea virus isolate 6220, complete genome",01-Apr-2016,['Poland'],28031,pig,2024.0,126.5
54,MZ313556.1,MZ313556.1,"Porcine epidemic diarrhea virus isolate 0100/4T, complete genome",03-Jan-2017,['Poland'],28028,pig,2661.0,126.71428571428571
55,MZ268115.1,MZ268115.1,"Porcine epidemic diarrhea virus isolate 25364/2, complete genome",12-Oct-2015,['Poland'],28048,pig,1883.0,125.53333333333333
56,MZ596343.1,MZ596343.1,"Porcine epidemic diarrhea virus isolate SD2019, complete genome",Oct-2019,['China'],27953,swine,2172.0,108.6
57,MT659926.1,MT659926.1,"Porcine epidemic diarrhea virus, complete genome",Feb-2019,['China: Zhejiang province'],28032,Sus scrofa domesticus,2586.0,107.75
58,MT646162.1,MT646162.1,"Porcine epidemic diarrhea virus isolate YJH/2015, complete genome",Oct-2015,['China'],28066,swine,2449.0,136.05555555555554
59,MT625963.1,MT625963.1,"Porcine epidemic diarrhea virus strain CH/JSXZ/2015, complete genome",2015,['China'],28044,porcine,2652.0,156.0
60,MT338518.1,MT338518.1,"Porcine epidemic diarrhea virus strain HNAY2016, complete genome",24-JAN-2021,['China'],28020,pig,2366.0,157.73333333333332
61,MT338517.1,MT338517.1,"Porcine epidemic diarrhea virus strain CH/HNXX/2016, complete genome",24-JAN-2021,['China'],28035,pig,2620.0,238.1818181818182
62,MT683617.1,MT683617.1,"Porcine epidemic diarrhea virus strain MSCH, complete genome",Sep-2016,['China'],28066,porcine,2215.0,110.75
63,MW165329.1,MW165329.1,"Porcine epidemic diarrhea virus isolate 4-2, complete genome",2013-07-01,['Taiwan'],27754,suckling pig,2093.0,174.41666666666666
64,MW165328.1,MW165328.1,"Porcine epidemic diarrhea virus isolate 5-17-V, complete genome",2014-01-21,['Taiwan'],27238,suckling pig,2621.0,137.94736842105263
