,virus_species_from_file,accession_with_version,subfamily,genus,subgenus,species,host,Sequence length,GC content,Melting temperature,GC skew,date,datetime,ZDNABERT intervals total length,ZDNABERT intervals number,ZHUNT intervals total length,ZHUNT intervals number
0,Alphacoronavirus_WA2028,MK472068.1,Orthocoronavirinae,Alphacoronavirus,,,microbat,27435,42.321851649353015,79.93206344958236,0.032933897043657116,2018,2018-01-01,1057,15,144,15
1,Alphacoronavirus_WA2028,NC_076684.1,Orthocoronavirinae,Alphacoronavirus,,,microbat,27435,42.321851649353015,79.93206344958236,0.032933897043657116,2018,2018-01-01,1057,15,144,15
2,Wigeon_coronavirus_HKU20,NC_016995.1,Orthocoronavirinae,Deltacoronavirus,Andecovirus,,wigeon,26227,39.36020131925115,78.22419517900147,0.06187101850788752,2008,2008-01-01,1210,8,130,13
3,Wigeon_coronavirus_HKU20,JQ065048.1,Orthocoronavirinae,Deltacoronavirus,Andecovirus,,wigeon,26227,39.36020131925115,78.22419517900147,0.06187101850788752,2008,2008-01-01,1210,8,130,13
4,Myotis_ricketti_alphacoronavirus_Sax-2011,NC_028811.1,Orthocoronavirinae,Alphacoronavirus,Myotacovirus,Myotis ricketti alphacoronavirus Sax-2011,Myotis ricketti,27935,40.99158761410417,79.2409541058401,0.10177976952950282,2011,2011-01-01,3415,27,492,46
5,Myotis_ricketti_alphacoronavirus_Sax-2011,KJ473806.1,Orthocoronavirinae,Alphacoronavirus,Myotacovirus,Myotis ricketti alphacoronavirus Sax-2011,Myotis ricketti,27935,40.99158761410417,79.2409541058401,0.10177976952950282,2011,2011-01-01,3415,27,492,46
6,Bat_Hp-betacoronavirus_Zhejiang2013,KF636752.1,Orthocoronavirinae,Betacoronavirus,Hibecovirus,Bat Hp-betacoronavirus Zhejiang2013,Hipposideros pratti,31491,41.27846051252739,79.31471241180196,0.018114213255672314,29-Apr-2013,2013-04-29,3323,26,588,55
7,Bat_Hp-betacoronavirus_Zhejiang2013,NC_025217.1,Orthocoronavirinae,Betacoronavirus,Hibecovirus,Bat Hp-betacoronavirus Zhejiang2013,Hipposideros pratti,31491,41.27846051252739,79.31471241180196,0.018114213255672314,29-Apr-2013,2013-04-29,3323,26,588,55
8,Bat_coronavirus_CDPHE15,KF430219.1,Orthocoronavirinae,Alphacoronavirus,Colacovirus,Bat coronavirus CDPHE15,Myotis lucifugus,28035,40.82753700731229,79.15201533928638,0.11460738355006178,07-Aug-2006,2006-08-07,644,4,262,26
9,Bat_coronavirus_CDPHE15,NC_022103.1,Orthocoronavirinae,Alphacoronavirus,Colacovirus,Bat coronavirus CDPHE15,Myotis lucifugus,28035,40.82753700731229,79.15201533928638,0.11460738355006178,07-Aug-2006,2006-08-07,644,4,262,26
10,Bat_coronavirus_CDPHE15,KY799179.1,Orthocoronavirinae,Alphacoronavirus,Colacovirus,Bat coronavirus CDPHE15,Myotis lucifugus (little brown bat),28173,40.66304617896568,79.06667631243317,0.11435835102412689,Nov-2010,2010-11-01,808,5,264,26
11,Alphacoronavirus_WA3607,MK472070.1,Orthocoronavirinae,Alphacoronavirus,,,microbat,28009,40.936841729444104,79.26882925532374,0.1280162804623073,2018,2018-01-01,2362,14,368,35
12,Alphacoronavirus_WA3607,NC_076685.1,Orthocoronavirinae,Alphacoronavirus,,,microbat,28009,40.936841729444104,79.26882925532374,0.1280162804623073,2018,2018-01-01,2362,14,368,35
13,Avian_coronavirus,MK957245.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27637,38.028729601621016,77.73101344123074,0.1502659650211858,1988,1988-01-01,1220,9,264,27
14,Avian_coronavirus,GU393332.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27591,38.07763401109057,77.77722101547943,0.14328598486092226,1992,1992-01-01,1911,12,206,21
15,Avian_coronavirus,KJ128295.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27666,38.15565918374724,77.80648258735948,0.14449973882031084,20-Dec-2012,2012-12-20,644,5,246,26
16,Avian_coronavirus,ON950740.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27710,38.007939372067845,77.72902126986475,0.14429100064898487,2017,2017-01-01,1140,7,298,29
17,Avian_coronavirus,ON419876.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27549,38.1439930290818,77.80681765562326,0.14918518588577404,2001,2001-01-01,1502,16,266,26
18,Avian_coronavirus,JF705860.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,duck,27673,38.24666642575796,77.86121366172358,0.14716390959941875,May-2004,2004-05-01,1006,5,308,30
19,Avian_coronavirus,MT984600.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,Gallus gallus,27348,38.112476232265614,77.77467285189499,0.14225291576255808,2013,2013-01-01,2299,16,124,12
20,Avian_coronavirus,MK937829.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus,27639,38.11281160678751,77.77203273367837,0.13970981864699422,2017,2017-01-01,1460,12,216,22
21,Avian_coronavirus,KF460437.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27610,38.15284317276349,77.82045867119342,0.14974234582092266,2011,2011-01-01,1439,22,204,20
22,Avian_coronavirus,KX302867.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27701,37.97696834049312,77.73193336654441,0.1459240197085462,2015,2015-01-01,1059,5,302,30
23,Avian_coronavirus,OM937940.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus,27685,38.085605923785444,77.77595913754413,0.1410905721660978,2022,2022-01-01,762,7,192,19
24,Avian_coronavirus,MP656388.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27646,38.13571583592563,77.78439618458856,0.14778529035469193,17-MAR-2021,2021-03-17,2884,19,142,14
25,Avian_coronavirus,OM937943.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus,27683,38.095582126214644,77.78052972597101,0.1410539321216923,2022,2022-01-01,1099,14,192,19
26,Avian_coronavirus,KX219800.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27675,38.088527551942185,77.78749449327324,0.14681901206318995,Jun-2013,2013-06-01,1034,8,192,19
27,Avian_coronavirus,AY641576.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27434,38.02580739228694,77.74608245638399,0.15078849208064865,13-NOV-2007,2007-11-13,1401,20,226,23
28,Avian_coronavirus,KJ425496.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27606,38.13663696297907,77.79592737076388,0.13723477247485388,25-May-2013,2013-05-25,776,7,302,30
29,Avian_coronavirus,MN548289.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27660,37.979031091829356,77.7304025743274,0.14710819516989723,Jan-2011,2011-01-01,959,8,250,25
30,Avian_coronavirus,MT701511.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27672,38.17215958369471,77.80722741342561,0.13991074761136515,Sep-2017,2017-09-01,1075,11,196,19
31,Avian_coronavirus,MN548286.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27600,38.119565217391305,77.8075937447079,0.15385532412844186,Jan-2011,2011-01-01,1823,11,168,18
32,Avian_coronavirus,KX252790.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27682,38.20533198468319,77.83830533867348,0.14774942834475419,May-2009,2009-05-01,1724,23,330,32
33,Avian_coronavirus,MZ325297.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,Gallus gallus,27671,38.19522243504029,77.8185791231437,0.14267829471629606,2013,2013-01-01,851,12,140,14
34,Avian_coronavirus,MK990809.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27783,38.1708238851096,77.82629448383523,0.1510489176746404,2002,2002-01-01,1437,11,292,29
35,Avian_coronavirus,ON044998.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27619,38.096962236141785,77.77604037944474,0.14202923244888652,2019,2019-01-01,886,7,254,25
36,Avian_coronavirus,KX185059.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27681,38.10194718398902,77.7914067628912,0.14981742549425206,30-JAN-2017,2017-01-30,1373,19,232,24
37,Avian_coronavirus,JF330898.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27675,38.18970189701897,77.8230662770286,0.14058419455004664,2010,2010-01-01,626,4,234,23
38,Avian_coronavirus,KJ425502.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27642,38.13399898704869,77.78240844189537,0.13938479399767234,26-Nov-2013,2013-11-26,1249,9,216,22
39,Avian_coronavirus,KC119407.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27718,38.06912475647594,77.78355893470746,0.14319108277697487,20-Jul-2012,2012-07-20,607,4,132,13
40,Avian_coronavirus,OM912685.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus domesticus (broiler); SEPRL-ID:2598,27095,38.213692563203544,77.82357096574947,0.140655690784599,01-Apr-2021,2021-04-01,1617,17,220,21
41,Avian_coronavirus,KX302875.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27682,38.118633046745174,77.79997185419217,0.14821268721338518,May-2010,2010-05-01,785,2,266,26
42,Avian_coronavirus,MN128086.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27680,38.21170520231214,77.83418889736959,0.14086899960111418,1995,1995-01-01,752,12,234,23
43,Avian_coronavirus,MN548287.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27639,38.101957379065816,77.7744904075978,0.14061547174034045,Jan-2011,2011-01-01,1854,12,216,22
44,Avian_coronavirus,MF508703.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27590,38.15150416817688,77.82890754378406,0.14516772277972206,01-Jan-2013,2013-01-01,1268,11,230,23
45,Avian_coronavirus,KX259249.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27685,38.06754560231172,77.77903987813818,0.14825124047682148,2009,2009-01-01,1186,13,192,19
46,Avian_coronavirus,KX364295.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27688,38.240392950014446,77.84568000859525,0.14364788623039007,May-2014,2014-05-01,974,6,218,21
47,Avian_coronavirus,MK990813.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27661,38.03188604894979,77.77406472563626,0.15571028307634308,1973,1973-01-01,1527,10,202,20
48,Avian_coronavirus,LQ302036.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27636,38.0662903459256,77.75839181869964,0.14229421410003143,05-OCT-2016,2016-10-05,1825,19,206,19
49,Avian_coronavirus,OP823402.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27681,38.19226184025143,77.81068505764762,0.14996427911602328,26-Oct-2021,2021-10-26,862,5,304,28
50,Avian_coronavirus,KP118888.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27617,38.13955172538654,77.8116342478823,0.13763874985706645,2013,2013-01-01,1460,6,352,34
51,Avian_coronavirus,MZ327724.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,guinea fowl,27773,38.2097720807979,77.856332471075,0.14341951839848466,May-2017,2017-05-01,1213,4,264,27
52,Avian_coronavirus,MH779859.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27603,38.11904503133717,77.7963115873124,0.14750328565491524,2016,2016-01-01,1306,14,234,22
53,Avian_coronavirus,ON419882.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27438,37.957561615867,77.72818950036554,0.15144058455194964,2013,2013-01-01,1106,13,266,26
54,Avian_coronavirus,MN199466.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27585,38.06416530723219,77.76046763209604,0.148731793717168,17-Apr-2018,2018-04-17,744,12,226,22
55,Avian_coronavirus,OM953425.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27681,38.08388425273653,77.77588915310503,0.14114390523947323,2022,2022-01-01,762,7,192,19
56,Avian_coronavirus,MN531554.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27677,38.19778155146873,77.82840258611083,0.14067973347576185,2012,2012-01-01,672,9,276,27
57,Avian_coronavirus,KX219801.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27667,38.012795026565946,77.74791147821497,0.1499845373355098,Apr-2012,2012-04-01,931,5,196,19
58,Avian_coronavirus,MZ325298.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,Gallus gallus,27616,38.05402665121669,77.74749430714837,0.14582678534156843,2013,2013-01-01,1180,7,110,10
59,Avian_coronavirus,MH779857.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27603,38.13715900445604,77.80337859816609,0.1482195906043018,2015,2015-01-01,1306,14,234,22
60,Avian_coronavirus,OM988148.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus sp.,27709,38.211411454761986,77.8178873409476,0.1403057751418748,2022,2022-01-01,1081,11,232,23
61,Avian_coronavirus,KX364291.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27685,38.063933538016975,77.77018921432358,0.1498500075280815,2007,2007-01-01,1466,20,232,23
62,Avian_coronavirus,MN199464.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27581,38.330734926217325,77.90474319874926,0.1557803112371584,04-May-2017,2017-05-04,1145,13,382,38
63,Avian_coronavirus,OK423446.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus sp.,27680,38.18280346820809,77.80785497306402,0.14291000251432995,2021,2021-01-01,1136,13,232,23
64,Avian_coronavirus,MN548288.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27693,38.16849023218864,77.82518004940943,0.14608957966441957,Jan-2011,2011-01-01,1338,18,184,19
65,Avian_coronavirus,KP868572.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27452,38.139297683228904,77.79945810709029,0.1427088146292557,2011,2011-01-01,1506,6,192,19
66,Avian_coronavirus,KF853202.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27677,38.00093954395982,77.73624571873552,0.1474577939797181,11-Jul-2008,2008-07-11,1022,6,238,23
67,Avian_coronavirus,KM586818.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27647,38.007740442000944,77.74136373333477,0.14863234167318767,Aug-2008,2008-08-01,767,2,238,23
68,Avian_coronavirus,OK507216.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27614,38.08937495473311,77.76670720942576,0.14097207466898007,2020,2020-01-01,771,5,276,28
69,Avian_coronavirus,KX302862.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27642,38.228058751175745,77.84968168985716,0.14401567188904793,Nov-2010,2010-11-01,1110,4,164,16
70,Avian_coronavirus,MK581206.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27433,38.22617701761424,77.85814057159087,0.14293673911533808,14-Dec-2012,2012-12-14,1426,10,154,16
71,Avian_coronavirus,M95169.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,,27608,37.93103448275862,77.69252151111868,0.14515041516170055,11-FEB-2002,2002-02-11,1719,6,92,10
72,Avian_coronavirus,KX252786.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27682,38.136695325482265,77.79028961766528,0.14751499347588018,Jun-2012,2012-06-01,1555,21,192,19
73,Avian_coronavirus,KJ425503.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27609,38.15060306421819,77.79308122947987,0.1369307010315865,08-Sep-2009,2009-09-08,1387,12,216,22
74,Avian_coronavirus,OM988140.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus sp.,27705,38.224147265836486,77.8230447339592,0.1401301373219508,2022,2022-01-01,1520,9,232,23
75,Avian_coronavirus,MN531556.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27658,38.180634897678786,77.8227189468368,0.14016185565794947,2011,2011-01-01,789,5,178,17
76,Avian_coronavirus,OP899613.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,indigenous chickens (Gallus domesticus),27767,38.0559657146973,77.75504298536458,0.15000293590439026,31-Jan-2017,2017-01-31,1127,4,182,19
77,Avian_coronavirus,NC_048214.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,duck,27754,39.27361821719392,78.41519655264932,0.1368276336433851,2014,2014-01-01,2227,14,130,13
78,Avian_coronavirus,KX302873.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27681,38.05137097648206,77.76327491168382,0.14463295900058507,2014,2014-01-01,1500,14,280,28
79,Avian_coronavirus,KP118890.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27682,38.122245502492596,77.78756733475865,0.14148043746246095,2013,2013-01-01,1396,16,232,23
80,Avian_coronavirus,KJ425505.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27642,38.11591057087041,77.77667869912028,0.13936612984611488,10-Mar-2011,2011-03-10,1359,10,216,22
81,Avian_coronavirus,KX236008.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27687,38.14786723010799,77.80525521054244,0.14584670571325584,2013,2013-01-01,882,8,226,23
82,Avian_coronavirus,KX259251.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27685,38.07115766660647,77.77513362557988,0.14442089360723676,2010,2010-01-01,1413,19,256,25
83,Avian_coronavirus,KX236003.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27685,38.157847209680334,77.80012384933303,0.14178929171933138,2011,2011-01-01,1260,16,348,35
84,Avian_coronavirus,LC683780.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus domesticus,27667,38.15014276936422,77.80528199159806,0.14986338314418035,16-FEB-2022,2022-02-16,1534,7,214,21
85,Avian_coronavirus,JX195176.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27683,38.08113282519958,77.75925371955242,0.14590865373236492,03-Nov-2011,2011-11-03,1073,9,342,33
86,Avian_coronavirus,FJ904722.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,chicken,27614,37.93140911889327,77.68850543631714,0.1439812164618774,1979,1979-01-01,1750,7,92,10
87,Avian_coronavirus,MW429062.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus,27485,37.83882117518647,77.66563757640819,0.1565990016638446,2020,2020-01-01,2215,26,180,18
88,Avian_coronavirus,KX247128.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,Gallus gallus,27682,38.049996387544255,77.7667846409608,0.14923733497370434,May-2013,2013-05-01,940,10,206,20
89,Avian_coronavirus,MT984597.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,,Gallus gallus,27642,38.23529411764706,77.84794194781688,0.13925099074624847,2012,2012-01-01,1672,10,334,33
