,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,MT663548.1,MT663548.1,"Bat alphacoronavirus isolate AMA_L_F, complete genome",2015,['Peru'],29097,Desmodus rotundus (common vampire bat),998.0,9.98
1,MH817484.1,MH817484.1,"Feline alphacoronavirus 1 strain FCoV-SB22, complete genome",2015,['Brazil'],29137,Felis catus,102.0,9.272727272727273
2,MZ081388.1,MZ081388.1,"Alphacoronavirus sp. strain bat/Yunnan/HlYN23/2020, complete genome",28-Jul-2020,['China'],29068,Hipposideros larvatus,350.0,10.606060606060606
3,MZ081387.1,MZ081387.1,"Alphacoronavirus sp. strain bat/Yunnan/RmYN21/2020, complete genome",03-Jun-2020,['China'],29100,Rhinolophus malayanus,524.0,10.48
4,MZ081386.1,MZ081386.1,"Alphacoronavirus sp. strain bat/Yunnan/RsYN12/2019, complete genome",22-Oct-2019,['China'],29161,Rhinolophus sinicus,542.0,10.423076923076923
5,MZ081385.1,MZ081385.1,"Alphacoronavirus sp. strain bat/Yunnan/MmYN16/2020, complete genome",18-Apr-2020,['China'],29201,Myotis muricola,542.0,10.423076923076923
6,MZ081384.1,MZ081384.1,"Alphacoronavirus sp. strain bat/Yunnan/HcYN26/2020, complete genome",29-Jul-2020,['China'],29203,Hipposideros cineraceus,542.0,10.423076923076923
7,KP849472.1,KP849472.1,"Alphacoronavirus 1 strain 23/03, complete genome",2003,['Italy'],30004,,196.0,9.8
8,ON595871.1,ON595871.1,"MAG: Feline coronavirus isolate HC-10, complete genome",2018,['Australia'],29258,Felis catus,76.0,9.5
9,ON595870.1,ON595870.1,"MAG: Feline coronavirus isolate HC-9, complete genome",2018,['Australia'],29271,Felis catus,166.0,9.764705882352942
10,ON595869.1,ON595869.1,"MAG: Feline coronavirus isolate HC-8, complete genome",2018,['Australia'],29265,Felis catus,110.0,10.0
11,ON595868.1,ON595868.1,"MAG: Feline coronavirus isolate HC-7, complete genome",2018,['Australia'],29296,Felis catus,78.0,9.75
12,ON595867.1,ON595867.1,"MAG: Feline coronavirus isolate HC-6, complete genome",2018,['Australia'],29299,Felis catus,78.0,9.75
13,ON595866.1,ON595866.1,"MAG: Feline coronavirus isolate HC-5, complete genome",2018,['Australia'],29288,Felis catus,78.0,9.75
14,ON595862.1,ON595862.1,"MAG: Feline coronavirus isolate HC-1, complete genome",2018,['Australia'],29314,Felis catus,156.0,9.75
15,ON595858.1,ON595858.1,"MAG: Feline coronavirus isolate FPV-6, complete genome",2017,['Australia'],29334,Felis catus,74.0,9.25
16,ON595857.1,ON595857.1,"MAG: Feline coronavirus isolate FPV-5, complete genome",2017,['Australia'],29347,Felis catus,68.0,9.714285714285714
17,ON595856.1,ON595856.1,"MAG: Feline coronavirus isolate FPV-4, complete genome",2017,['Australia'],29333,Felis catus,46.0,9.2
18,ON595855.1,ON595855.1,"MAG: Feline coronavirus isolate FPV-3, complete genome",2017,['Australia'],29287,Felis catus,172.0,9.555555555555555
19,ON595854.1,ON595854.1,"MAG: Feline coronavirus isolate FPV-2, complete genome",2017,['Australia'],29260,Felis catus,152.0,9.5
20,ON595853.1,ON595853.1,"MAG: Feline coronavirus isolate FPV-1, complete genome",2017,['Australia'],29293,Felis catus,126.0,9.692307692307692
21,OX335623.1,OX335623.1,"Canine coronavirus isolate 61/22 genome assembly, chromosome: 1",04-OCT-2022,,29139,,148.0,9.866666666666667
22,OX335549.1,OX335549.1,"Canine coronavirus isolate 12/20 genome assembly, chromosome: 1",04-OCT-2022,,29321,,88.0,9.777777777777779
