,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,OM397541.1,OM397541.1,"Betacoronavirus 1 isolate ISR1127, complete genome",24-Jan-2019,['Israel'],30992,Oryx leucoryx,522.0,43.5
1,OP020177.1,OP020177.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L4, complete genome",Apr-2019,['Australia: New South Wales'],30955,Bos taurus L4,252.0,36.0
2,OP020176.1,OP020176.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L3, complete genome",Apr-2019,['Australia: New South Wales'],30983,Bos taurus L3,1260.0,96.92307692307692
3,OP020175.1,OP020175.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L1, complete genome",Apr-2019,['Australia: New South Wales'],30757,Bos taurus L1,531.0,88.5
4,OP020174.1,OP020174.1,"MAG: Betacoronavirus 1 isolate BCoV_NSW_L9, complete genome",Apr-2019,['Australia: New South Wales'],30869,Bos taurus L9,1269.0,141.0
5,MW802581.1,MW802581.1,"Betacoronavirus 1 isolate GCCDC3, complete genome",20-Jan-2017,['China'],31256,Rattus norvegicus,1741.0,158.27272727272728
6,MW773844.1,MW773844.1,"Betacoronavirus 1 strain GCCDC4, complete genome",07-Mar-2017,['China'],31383,Rattus norvegicus,4257.0,185.08695652173913
7,MH685718.1,MH685718.1,"Betacoronavirus 1 isolate E0-034 ORF1ab gene, complete cds; ORF1ab gene, partial cds; and NS2a, HE, S, NS5a, and N genes, complete cds",2013,['Uganda'],30520,Homo sapiens,917.0,65.5
8,KU558923.1,KU558923.1,"Betacoronavirus 1 isolate Buffalo coronavirus B1-28F, complete genome",01-Oct-2014,['Bangladesh'],30985,Bubalus bubalis,537.0,53.7
9,KU558922.1,KU558922.1,"Betacoronavirus 1 isolate Buffalo coronavirus B1-24F, complete genome",01-Oct-2014,['Bangladesh'],31039,Bubalus bubalis,1112.0,85.53846153846153
10,MZ328297.1,MZ328297.1,"Wenzhou Pipistrellus abramus betacoronavirus 1, complete genome",2016,['China'],30429,Pipistrellus abramus,8059.0,122.10606060606061
11,MZ328296.1,MZ328296.1,"Jingmen Apodemus agrarius betacoronavirus 1 isolate SYS_heixian, partial genome",2016,['China'],30822,Apodemus agrarius,2741.0,161.23529411764707
12,MZ328295.1,MZ328295.1,"Longquan Niviventer niviventer betacoronavirus 1 isolate LQS_she, partial genome",2016,['China'],30810,Niviventer niviventer,1693.0,99.58823529411765
13,MZ328294.1,MZ328294.1,"Jingmen Rhinolophus sinicus betacoronavirus 1, complete genome",2016,['China'],29627,Rhinolophus sinicus,1966.0,131.06666666666666
14,OP866729.1,OP866729.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_B277a/2021, complete genome",20-Dec-2021,['China'],31034,Dairy Calves,1271.0,158.875
15,OP866728.1,OP866728.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_B298/2021, complete genome",20-Dec-2021,['China'],31044,Dairy Calves,1500.0,214.28571428571428
16,OP866727.1,OP866727.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_F226/2021, complete genome",20-Dec-2021,['China'],31034,Dairy Calves,1271.0,158.875
17,OP866726.1,OP866726.1,"Bovine coronavirus isolate BCoV_China/BCoV cattle_B277b/2021, complete genome",20-Dec-2021,['China'],31023,Dairy Calves,1292.0,161.5
18,KY994645.1,KY994645.1,"Porcine hemagglutinating encephalomyelitis virus strain JL/2008, complete genome",21-Aug-2008,['China'],30684,piglet,993.0,141.85714285714286
19,OK073088.1,OK073088.1,"Human coronavirus OC43 strain H31, complete genome",2014,['China'],30742,Homo sapiens,1470.0,133.63636363636363
20,OK073092.1,OK073092.1,"Human coronavirus OC43 strain R125, partial genome",2016,['China'],30615,Homo sapiens,939.0,104.33333333333333
21,OK073091.1,OK073091.1,"Human coronavirus OC43 strain R67, complete genome",2015,['China'],30711,Homo sapiens,1371.0,114.25
22,OK073090.1,OK073090.1,"Human coronavirus OC43 strain P43, complete genome",2017,['China'],30752,Homo sapiens,1487.0,185.875
23,OK073089.1,OK073089.1,"Human coronavirus OC43 strain H49, complete genome",2015,['China'],30749,Homo sapiens,1331.0,133.1
24,OK073087.1,OK073087.1,"Human coronavirus OC43 strain H10, complete genome",2014,['China'],30742,Homo sapiens,1322.0,220.33333333333334
25,OP296992.1,OP296992.1,"Bovine coronavirus isolate p95, complete genome",24-Mar-2017,['Taiwan'],31032,bovine,1060.0,88.33333333333333
26,ON142320.1,ON142320.1,"Bovine coronavirus isolate BCoV7/2021/CHN, complete genome",2021,['China'],31008,cow,1181.0,168.71428571428572
27,ON142319.1,ON142319.1,"Bovine coronavirus isolate BCoV6/2021/CHN, complete genome",2021,['China'],31043,cow,1202.0,171.71428571428572
28,ON142318.1,ON142318.1,"UNVERIFIED: Bovine coronavirus isolate BCoV5/2021/CHN, complete genome",2021,['China'],31009,cow,1199.0,171.28571428571428
29,ON142317.1,ON142317.1,"Bovine coronavirus isolate BCoV4/2021/CHN, complete genome",2021,['China'],30994,cow,1268.0,115.27272727272727
30,ON142316.1,ON142316.1,"Bovine coronavirus isolate BCoV3/2021/CHN, complete genome",2021,['China'],31010,cow,1219.0,243.8
31,ON142315.1,ON142315.1,"Bovine coronavirus isolate BCoV1/2021/CHN, complete genome",2021,['China'],31008,cow,1263.0,210.5
32,LC654454.1,LC654454.1,"Human coronavirus OC43 Fukushima_H148_2018 RNA, complete genome",2018,['Japan: Fukushima'],30740,Homo sapiens,1245.0,124.5
33,ON453891.1,ON453891.1,"Equine coronavirus isolate CH-CVP3, complete genome",2021,['Switzerland'],30884,Equus caballus,420.0,105.0
34,ON453890.1,ON453890.1,"Equine coronavirus isolate CH-ZH39, complete genome",2015,['Switzerland'],30913,Equus caballus,322.0,80.5
35,OP037442.1,OP037442.1,"Bovine coronavirus isolate VDC/2022/07/E, partial genome",2022,['USA: Oregon'],31002,bovine,2232.0,111.6
36,OP037441.1,OP037441.1,"Bovine coronavirus isolate VDC/2022/06/E, partial genome",2022,['USA: Nebraska'],31006,bovine,1737.0,144.75
37,OP037440.1,OP037440.1,"Bovine coronavirus isolate VDC/2022/05/E, partial genome",2022,['USA: Nebraska'],31033,bovine,1697.0,188.55555555555554
38,OP037439.1,OP037439.1,"Bovine coronavirus isolate VDC/2022/04/E, partial genome",2022,['USA: Nebraska'],31010,bovine,1423.0,79.05555555555556
39,OP037438.1,OP037438.1,"Bovine coronavirus isolate VDC/2022/03/E, partial genome",2022,['USA: South_Dakota'],31016,bovine,1450.0,181.25
40,OP037437.1,OP037437.1,"Bovine coronavirus isolate VDC/2022/02/E, partial genome",2022,['USA: South_Dakota'],31001,bovine,1684.0,153.0909090909091
41,OP037436.1,OP037436.1,"Bovine coronavirus isolate VDC/2022/01/E, partial genome",2022,['USA: Kansas'],31023,bovine,1507.0,51.96551724137931
42,OP037435.1,OP037435.1,"Bovine coronavirus isolate VDC/2019/06/E, partial genome",2019,['USA: Nebraska'],31008,bovine,1633.0,125.61538461538461
43,OP037434.1,OP037434.1,"Bovine coronavirus isolate VDC/2019/05/E, partial genome",2019,['USA: Nebraska'],31015,bovine,1102.0,64.82352941176471
44,OP037433.1,OP037433.1,"Bovine coronavirus isolate VDC/2019/04/E, partial genome",2019,['USA: Nebraska'],31007,bovine,1951.0,243.875
45,OP037432.1,OP037432.1,"Bovine coronavirus isolate VDC/2019/03/E, partial genome",2019,['USA: Nebraska'],31008,bovine,1807.0,100.38888888888889
46,OP037431.1,OP037431.1,"Bovine coronavirus isolate VDC/2019/02/E, partial genome",2019,['USA: Nebraska'],31016,bovine,1935.0,107.5
47,OP037430.1,OP037430.1,"Bovine coronavirus isolate VDC/2019/01/R, partial genome",2019,['USA: Nebraska'],31014,bovine,1282.0,106.83333333333333
48,OP037429.1,OP037429.1,"Bovine coronavirus isolate VDC/2019/01/E, partial genome",2019,['USA: Nebraska'],31011,bovine,1544.0,96.5
49,OP037428.1,OP037428.1,"Bovine coronavirus isolate VDC/2018/13/E, partial genome",2018,['USA: Nebraska'],31006,bovine,1512.0,88.94117647058823
50,OP037427.1,OP037427.1,"Bovine coronavirus isolate VDC/2018/12/E, partial genome",2018,['USA: Nebraska'],31008,bovine,1732.0,115.46666666666667
51,OP037426.1,OP037426.1,"Bovine coronavirus isolate VDC/2018/11/E, partial genome",2018,['USA: Nebraska'],31014,bovine,1029.0,114.33333333333333
52,OP037425.1,OP037425.1,"Bovine coronavirus isolate VDC/2018/10/E, partial genome",2018,['USA: Nebraska'],31012,bovine,1324.0,110.33333333333333
53,OP037424.1,OP037424.1,"Bovine coronavirus isolate VDC/2018/09/E, partial genome",2018,['USA: Nebraska'],31008,bovine,1579.0,105.26666666666667
54,OP037423.1,OP037423.1,"Bovine coronavirus isolate VDC/2018/08/E, partial genome",2018,['USA: Pennsylvania'],31014,bovine,1423.0,101.64285714285714
55,OP037422.1,OP037422.1,"Bovine coronavirus isolate VDC/2018/07/E, partial genome",2018,['USA: Nebraska'],31016,bovine,1047.0,130.875
56,OP037421.1,OP037421.1,"Bovine coronavirus isolate VDC/2018/06/E, partial genome",2018,['USA: Nebraska'],31011,bovine,1337.0,83.5625
57,OP037420.1,OP037420.1,"Bovine coronavirus isolate VDC/2018/05/R, partial genome",2018,['USA: Nebraska'],30989,bovine,1003.0,143.28571428571428
58,OP037419.1,OP037419.1,"Bovine coronavirus isolate VDC/2018/04/R, partial genome",2018,['USA: Nebraska'],31005,bovine,1530.0,153.0
59,OP037418.1,OP037418.1,"Bovine coronavirus isolate VDC/2018/03/R, partial genome",2018,['USA: Nebraska'],31007,bovine,1953.0,130.2
60,OP037417.1,OP037417.1,"Bovine coronavirus isolate VDC/2018/02/R, partial genome",2018,['USA: Wyoming'],31008,bovine,1041.0,104.1
61,OP037416.1,OP037416.1,"Bovine coronavirus isolate VDC/2018/01/R, partial genome",2018,['USA: Nebraska'],31006,bovine,1480.0,148.0
62,OP037415.1,OP037415.1,"Bovine coronavirus isolate VDC/2017/02/E&N, partial genome",2017,['USA: Nebraska'],31009,bovine,1872.0,187.2
63,OP037414.1,OP037414.1,"Bovine coronavirus isolate VDC/2017/01/E, partial genome",2017,['USA: Nebraska'],30988,bovine,1674.0,128.76923076923077
64,OP037413.1,OP037413.1,"Bovine coronavirus isolate SDSU/2022/04/R, partial genome",2022,['USA: Nebraska'],30730,bovine,1296.0,129.6
65,OP037412.1,OP037412.1,"Bovine coronavirus isolate SDSU/2022/03/R, partial genome",2022,['USA: Nebraska'],30840,bovine,1482.0,211.71428571428572
66,OP037411.1,OP037411.1,"Bovine coronavirus isolate SDSU/2022/02/R, partial genome",2022,['USA: Nebraska'],30875,bovine,799.0,72.63636363636364
67,OP037410.1,OP037410.1,"Bovine coronavirus isolate SDSU/2022/01/R, partial genome",2022,['USA: Nebraska'],30918,bovine,1259.0,96.84615384615384
68,OP037409.1,OP037409.1,"Bovine coronavirus isolate SDSU/2021/06/R, partial genome",2021,['USA: North_Dakota'],30822,bovine,876.0,146.0
69,OP037408.1,OP037408.1,"Bovine coronavirus isolate SDSU/2021/05/R, partial genome",2021,['USA: California'],31021,bovine,1146.0,76.4
70,OP037407.1,OP037407.1,"Bovine coronavirus isolate SDSU/2021/04/R, partial genome",2021,['USA: Texas'],30968,bovine,730.0,182.5
71,OP037406.1,OP037406.1,"Bovine coronavirus isolate SDSU/2021/03/R, partial genome",2021,['USA: Texas'],30941,bovine,513.0,85.5
72,OP037405.1,OP037405.1,"Bovine coronavirus isolate SDSU/2021/02/R, partial genome",2021,['USA: Nebraska'],30842,bovine,427.0,106.75
73,OP037404.1,OP037404.1,"Bovine coronavirus isolate SDSU/2021/01/R, partial genome",2021,['USA: Colorado'],30909,bovine,800.0,47.05882352941177
74,OP037403.1,OP037403.1,"Bovine coronavirus isolate SDSU/2020/07/R, partial genome",2020,['USA: Minnesota'],30956,bovine,2065.0,86.04166666666667
75,OP037402.1,OP037402.1,"Bovine coronavirus isolate SDSU/2020/06/R, partial genome",2020,['USA: Nebraska'],31007,bovine,1729.0,192.11111111111111
76,OP037401.1,OP037401.1,"Bovine coronavirus isolate SDSU/2020/05/R, partial genome",2020,['USA: Minnesota'],31016,bovine,1479.0,147.9
77,OP037400.1,OP037400.1,"Bovine coronavirus isolate SDSU/2020/04/R, partial genome",2020,['USA: Wisconsin'],30868,bovine,468.0,156.0
78,OP037399.1,OP037399.1,"Bovine coronavirus isolate SDSU/2020/03/R, partial genome",2020,['USA: Texas'],31027,bovine,1472.0,113.23076923076923
79,OP037398.1,OP037398.1,"Bovine coronavirus isolate SDSU/2020/02/R, partial genome",2020,['USA: California'],30682,bovine,916.0,183.2
80,OP037397.1,OP037397.1,"Bovine coronavirus isolate SDSU/2020/01/R, partial genome",2020,['USA: California'],31002,bovine,1498.0,99.86666666666666
81,OP037396.1,OP037396.1,"Bovine coronavirus isolate MARC/2021/03/R, partial genome",2021,['USA: Nebraska'],31008,bovine,1762.0,176.2
82,OP037395.1,OP037395.1,"Bovine coronavirus isolate MARC/2021/02/R, partial genome",2021,['USA: Nebraska'],31007,bovine,1527.0,127.25
83,OP037394.1,OP037394.1,"Bovine coronavirus isolate MARC/2021/01/R, partial genome",2021,['USA: Nebraska'],31005,bovine,1713.0,131.76923076923077
84,OP037393.1,OP037393.1,"Bovine coronavirus isolate MARC/2020/03/R, partial genome",2020,['USA: Nebraska'],31037,bovine,1598.0,61.46153846153846
85,OP037392.1,OP037392.1,"Bovine coronavirus isolate MARC/2020/02/R, partial genome",2020,['USA: Nebraska'],31013,bovine,1566.0,130.5
86,OP037391.1,OP037391.1,"Bovine coronavirus isolate MARC/2020/01/R, partial genome",2020,['USA: Nebraska'],31010,bovine,1030.0,93.63636363636364
87,OP037390.1,OP037390.1,"Bovine coronavirus isolate MARC/2019/02/R, partial genome",2019,['USA: Nebraska'],31005,bovine,1596.0,266.0
88,OP037389.1,OP037389.1,"Bovine coronavirus isolate MARC/2019/01/R, partial genome",2019,['USA: Nebraska'],31003,bovine,1565.0,260.8333333333333
89,OP037388.1,OP037388.1,"Bovine coronavirus isolate MARC/2018/05/E, partial genome",2018,['USA: Nebraska'],31016,bovine,2129.0,163.76923076923077
90,OP037387.1,OP037387.1,"Bovine coronavirus isolate MARC/2018/02/R, partial genome",2018,['USA: Nebraska'],31000,bovine,1875.0,234.375
91,OP037386.1,OP037386.1,"Bovine coronavirus isolate MARC/2018/01/R, partial genome",2018,['USA: Nebraska'],31014,bovine,1865.0,71.73076923076923
92,OP037385.1,OP037385.1,"Bovine coronavirus isolate MARC/2017/06/R, partial genome",2017,['USA: Nebraska'],31017,bovine,1641.0,126.23076923076923
93,OP037384.1,OP037384.1,"Bovine coronavirus isolate MARC/2017/05/R, partial genome",2017,['USA: Nebraska'],31005,bovine,1545.0,171.66666666666666
94,OP037383.1,OP037383.1,"Bovine coronavirus isolate MARC/2017/04/E, partial genome",2017,['USA: Nebraska'],31004,bovine,1523.0,169.22222222222223
95,OP037382.1,OP037382.1,"Bovine coronavirus isolate MARC/2017/03/E, partial genome",2017,['USA: Nebraska'],31008,bovine,1668.0,139.0
96,OP037381.1,OP037381.1,"Bovine coronavirus isolate MARC/2017/02/E, partial genome",2017,['USA: Nebraska'],31009,bovine,1378.0,98.42857142857143
97,OP037380.1,OP037380.1,"Bovine coronavirus isolate MARC/2017/01/R, partial genome",2017,['USA: Nebraska'],31013,bovine,1144.0,114.4
98,OP037379.1,OP037379.1,"Bovine coronavirus isolate MARC/2016/07/R, partial genome",2016,['USA: Nebraska'],31006,bovine,1525.0,101.66666666666667
99,OP037378.1,OP037378.1,"Bovine coronavirus isolate MARC/2016/06/R, partial genome",2016,['USA: Nebraska'],31003,bovine,1787.0,162.45454545454547
100,OP037377.1,OP037377.1,"Bovine coronavirus isolate MARC/2016/05/R, partial genome",2016,['USA: Nebraska'],31004,bovine,1664.0,208.0
101,OP037376.1,OP037376.1,"Bovine coronavirus isolate MARC/2016/04/R, partial genome",2016,['USA: Nebraska'],31006,bovine,1357.0,75.38888888888889
102,OP037375.1,OP037375.1,"Bovine coronavirus isolate MARC/2016/03/R, partial genome",2016,['USA: Nebraska'],31009,bovine,1640.0,164.0
103,OP037374.1,OP037374.1,"Bovine coronavirus isolate MARC/2016/02/R, partial genome",2016,['USA: Nebraska'],31005,bovine,1573.0,174.77777777777777
104,OP037373.1,OP037373.1,"Bovine coronavirus isolate MARC/2016/01/R, partial genome",2016,['USA: Nebraska'],31009,bovine,1640.0,164.0
105,OP037372.1,OP037372.1,"Bovine coronavirus isolate MARC/2015/02/R, partial genome",2015,['USA: Nebraska'],31016,bovine,1233.0,88.07142857142857
106,OP037371.1,OP037371.1,"Bovine coronavirus isolate MARC/2015/01/R, partial genome",2015,['USA: Nebraska'],31017,bovine,1106.0,65.05882352941177
107,OP037370.1,OP037370.1,"Bovine coronavirus isolate MARC/2014/04/R, partial genome",2014,['USA: Nebraska'],30996,bovine,1469.0,113.0
108,OP037369.1,OP037369.1,"Bovine coronavirus isolate MARC/2014/03/R, partial genome",2014,['USA: Nebraska'],30996,bovine,1469.0,113.0
109,OP037368.1,OP037368.1,"Bovine coronavirus isolate MARC/2014/02/R, partial genome",2014,['USA: Nebraska'],30990,bovine,823.0,205.75
110,OP037367.1,OP037367.1,"Bovine coronavirus isolate MARC/2014/01/R, partial genome",2014,['USA: Nebraska'],30996,bovine,1468.0,112.92307692307692
111,OP037366.1,OP037366.1,"Bovine coronavirus isolate MARC/2013/02/R, partial genome",2013,['USA: Nebraska'],31016,bovine,1257.0,209.5
112,OP037365.1,OP037365.1,"Bovine coronavirus isolate MARC/2013/01/R, partial genome",2013,['USA: Nebraska'],31007,bovine,1455.0,181.875
113,ON133848.1,ON133848.1,"Canine respiratory coronavirus isolate USA 4, partial genome",2020,['USA'],30807,dog,627.0,89.57142857142857
114,ON133847.1,ON133847.1,"Canine respiratory coronavirus isolate USA 3, partial genome",2021,['USA'],30807,dog,503.0,71.85714285714286
115,ON133846.1,ON133846.1,"Canine respiratory coronavirus isolate USA 2, partial genome",2021,['USA'],30807,dog,503.0,71.85714285714286
116,ON133845.1,ON133845.1,"Canine respiratory coronavirus isolate USA 1, partial genome",2021,['USA'],30807,dog,748.0,83.11111111111111
117,ON133844.1,ON133844.1,"Canine respiratory coronavirus isolate USA 5, partial genome",2019,['USA'],30809,dog,690.0,86.25
118,LC720429.1,LC720429.1,"Human coronavirus OC43 HCoVOC43_Fukushima_O989_2019 RNA, nearly complete genome",2019,['Japan: Fukushima'],30705,Homo sapiens,937.0,133.85714285714286
119,LC720427.1,LC720427.1,"Human coronavirus OC43 HCoVOC43_Fukushima_OR7_2020 RNA, nearly complete genome",2020,['Japan: Fukushima'],30714,Homo sapiens,1050.0,150.0
120,ON792964.1,ON792964.1,"Bovine coronavirus strain ABGEDB-260, complete genome",18-Mar-2020,['Ireland'],31034,Bos taurus; Holstein Frisian,604.0,60.4
121,ON792962.1,ON792962.1,"Bovine coronavirus strain ABGEBB-129, complete genome",20-Nov-2019,['Ireland'],31005,Bos taurus; Charolais,614.0,122.8
122,ON792961.1,ON792961.1,"Bovine coronavirus strain ABGEBB-115, complete genome",11-Nov-2019,['Ireland'],31122,Bos taurus; Aberdeen Angus,10.0,5.0
123,ON792960.1,ON792960.1,"Bovine coronavirus strain ABGEBB-110, complete genome",09-Nov-2019,['Ireland'],31122,Bos taurus; Limousin,243.0,121.5
124,ON792959.1,ON792959.1,"Bovine coronavirus strain ABGEBB-108, complete genome",10-Nov-2019,['Ireland'],31035,Bos taurus; Aberdeen Angus,1411.0,176.375
125,ON792958.1,ON792958.1,"Bovine coronavirus strain ABGEBB-78, complete genome",25-Nov-2019,['Ireland'],30924,Bos taurus; Charolais,827.0,275.6666666666667
126,ON792957.1,ON792957.1,"Bovine coronavirus strain ABGEB0-128, complete genome",06-Nov-2019,['Ireland'],30879,Bos taurus; Hereford,1490.0,298.0
