,virus_species_from_file,accession_with_version,subfamily,genus,subgenus,species,host,Sequence length,GC content,Melting temperature,GC skew,date,datetime,ZDNABERT intervals total length,ZDNABERT intervals number,ZHUNT intervals total length,ZHUNT intervals number
0,SARS-CoV-2-10k-new,OW472658.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29873,37.958511246343676,77.75297707672974,0.03473932529804229,2022-03-09,2022-03-09,1237,13,99,18
1,SARS-CoV-2-10k-new,OP399658.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29814,37.867301757681474,77.71606222244617,0.0363311398235368,2022-08-26,2022-08-26,1600,11,99,18
2,SARS-CoV-2-10k-new,OU488040.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29890,37.94308369452004,77.74857885654308,0.034974618680161565,2021-07-09,2021-07-09,1247,9,99,18
3,SARS-CoV-2-10k-new,OV105228.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29798,38.024224838894696,77.78634491177223,0.03726972535752548,2021-03-31,2021-03-31,1718,12,99,18
4,SARS-CoV-2-10k-new,OD937068.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29884,37.983402210798644,77.76756764702066,0.03432770131678928,2021-01-11,2021-01-11,1716,15,99,18
5,SARS-CoV-2-10k-new,OX565791.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29884,37.992013690815746,77.7702961669089,0.033583790610692485,2021-01-19,2021-01-19,1775,15,99,18
6,SARS-CoV-2-10k-new,OY619090.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29903,37.985587397352106,77.76707885576155,0.03346157738058014,2021-01-25,2021-01-25,1028,8,99,18
7,SARS-CoV-2-10k-new,OM123701.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29787,37.9706445437141,77.75963041652125,0.036506323966544824,2021-12-01,2021-12-01,1781,8,99,18
8,SARS-CoV-2-10k-new,OX990929.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29876,38.284778181174175,77.92001458916764,0.03572069021244004,2022-03-21,2022-03-21,530,9,87,15
9,SARS-CoV-2-10k-new,OL369909.1,Orthocoronavirinae,Betacoronavirus,Sarbecovirus,Severe acute respiratory syndrome-related coronavirus,Homo sapiens,29891,37.93449533304339,77.74726003412701,0.034452477526401015,2021-04-28,2021-04-28,1156,10,99,18
