,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,KP887098.1,KP887098.1,"UNVERIFIED: Murine coronavirus strain AM2, complete genome",01-Jul-2014,['USA'],31409,,5397.0,207.57692307692307
1,KF268339.1,KF268339.1,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_ns2M/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31283,Mus musculus,4998.0,208.25
2,KF268338.1,KF268338.1,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_L94P/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31294,Mus musculus,4303.0,253.11764705882354
3,KF268337.1,KF268337.1,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_17Cl1/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31294,Mus musculus,4303.0,253.11764705882354
4,KF268336.1,KF268336.1,"Murine coronavirus strain MHV/BHKR_lab/USA/infA59_H126A/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31294,Mus musculus,4299.0,268.6875
5,JX169867.1,JX169867.1,"Murine coronavirus strain JHM.WU, complete genome",14-Aug-1947,['USA'],31051,,6806.0,189.05555555555554
6,JX169866.1,JX169866.1,"Murine coronavirus strain JHM-WU-Dns2, complete genome",14-Aug-1947,['USA'],30729,,5729.0,159.13888888888889
7,FJ647220.1,FJ647220.1,"Murine coronavirus RA59/SJHM, complete genome",24-JUL-2016,['USA: Pennsylvania'],31429,Mus musculus,4819.0,200.79166666666666
8,FJ647227.1,FJ647227.1,"Murine coronavirus repJHM/RA59, complete genome",24-JUL-2016,['USA: Pennsylvania'],31250,Mus musculus,5688.0,145.84615384615384
9,FJ647226.1,FJ647226.1,"Murine coronavirus MHV-JHM.IA, complete genome",24-JUL-2016,['USA: Pennsylvania'],31473,Mus musculus,6373.0,159.325
10,FJ647222.1,FJ647222.1,"Murine coronavirus SA59/RJHM, complete genome",24-JUL-2016,['USA: Pennsylvania'],31283,Mus musculus,5287.0,203.34615384615384
11,FJ647221.1,FJ647221.1,"Murine coronavirus repA59/RJHM, complete genome",24-JUL-2016,['USA: Pennsylvania'],31456,Mus musculus,5332.0,108.81632653061224
12,FJ647218.1,FJ647218.1,"Murine coronavirus RA59/R13, complete genome",01-Jan-2006,['USA: Pennsylvania'],31285,Mus musculus,4437.0,233.52631578947367
13,MW620427.1,MW620427.1,"Murine coronavirus MHV-3 isolate UNICAMP, complete genome",2020,['Brazil: Campinas-SP'],31218,Mus musculus,5551.0,118.1063829787234
14,FJ647225.1,FJ647225.1,"Murine coronavirus inf-MHV-A59, complete genome",24-JUL-2016,['USA: Pennsylvania'],31293,Mus musculus,5041.0,210.04166666666666
15,FJ647224.1,FJ647224.1,"Murine coronavirus MHV-3, complete genome",24-JUL-2016,['USA: Pennsylvania'],31448,Mus musculus,4509.0,128.82857142857142
16,FJ647223.1,FJ647223.1,"Murine coronavirus MHV-1, complete genome",24-JUL-2016,['USA: Pennsylvania'],31386,Mus musculus,5352.0,130.53658536585365
17,FJ647219.1,FJ647219.1,"Murine coronavirus RJHM/A, complete genome",24-JUL-2016,['USA: Pennsylvania'],31427,Mus musculus,6043.0,154.94871794871796
18,NC_001846.1,NC_001846.1,"Murine hepatitis virus strain MHV-A59 C12 mutant, complete genome",14-NOV-2020,,31357,,5408.0,208.0
19,AF029248.1,AF029248.1,"Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome",25-JUL-2000,,31357,,5408.0,208.0
20,GU593319.1,GU593319.1,"Murine hepatitis virus strain S, complete genome",23-JUL-2010,['USA'],31147,mouse,5704.0,172.84848484848484
21,OK491634.1,OK491634.1,"Murine hepatitis virus strain COR-118, complete genome",2019,,31252,murine,6262.0,173.94444444444446
22,NC_012936.1,NC_012936.1,"Rat coronavirus Parker, complete genome",27-SEP-2020,,31250,rat,3797.0,189.85
23,AC_000192.1,AC_000192.1,"Murine hepatitis virus strain JHM, complete genome",26-SEP-2020,,31526,,9226.0,271.3529411764706
24,NC_048217.1,NC_048217.1,"Murine hepatitis virus strain A59, complete genome",16-SEP-2020,,31335,,5018.0,193.0
25,MF416379.1,MF416379.1,"Murine hepatitis virus isolate MHV/NYC/Manhattan/poolF5, partial genome",Sep-2014,['USA'],31414,Mus musculus,6327.0,158.175
26,MF618253.1,MF618253.1,"Murine hepatitis virus strain A59 isolate MHV-ExoN(-) P250, complete genome",16-Jan-2014,['USA'],29893,mouse,3963.0,152.42307692307693
27,MF618252.1,MF618252.1,"Murine hepatitis virus strain A59 isolate WT-MHV P250, complete genome",16-Jan-2014,['USA'],29947,mouse,4063.0,176.65217391304347
28,FJ884687.1,FJ884687.1,"Murine hepatitis virus strain A59 B12 variant, complete genome",24-JUL-2016,['USA: Pennsylvania'],31277,mouse,4357.0,217.85
29,FJ884686.1,FJ884686.1,"Murine hepatitis virus strain A59 B11 variant, complete genome",24-JUL-2016,['USA: Pennsylvania'],31275,mouse,4358.0,217.9
30,AF208067.1,AF208067.1,"Murine hepatitis virus strain ML-10, complete genome",03-JAN-2002,,31233,,4662.0,172.66666666666666
31,AF208066.1,AF208066.1,"Murine hepatitis virus strain Penn 97-1, complete genome",11-MAY-2000,,31112,,3354.0,98.6470588235294
32,AF207902.1,AF207902.1,"Murine hepatitis virus strain ML-11 RNA-directed RNA polymerase (orf1A), RNA-directed RNA polymerase (orf1B), non-structural protein (orf2A), hemagglutinin esterase protein (orf2B), spike glycoprotein precursor (orf3), non-structural protein (orf5A), envelope glycoprotein E (orf5B), matrix glycoprotein (orf6), and nucleocapsid protein (orf7) genes, complete cds",03-JAN-2002,,31277,,3839.0,137.10714285714286
33,AF201929.1,AF201929.1,"Murine hepatitis virus strain 2, complete genome",03-JAN-2002,,31276,,3689.0,127.20689655172414
34,KF850449.2,KF850449.2,"Rat coronavirus strain mouse_lab/USA/MG6644_HOLMES10/1996, partial genome",09-Dec-1996,['USA'],31169,Rattus sp.,6524.0,283.6521739130435
35,JF792617.1,JF792617.1,"Rat coronavirus isolate 8190, complete genome",30-APR-2012,,31274,rat,4598.0,199.91304347826087
36,JF792616.1,JF792616.1,"Rat coronavirus isolate 681, complete genome",30-APR-2012,,31286,rat,4927.0,197.08
37,JQ173883.1,JQ173883.1,"Murine hepatitis virus strain S/3239-17, complete genome",24-MAR-2012,,31161,,6457.0,157.4878048780488
38,AY700211.1,AY700211.1,"Murine hepatitis virus strain A59, complete genome",10-JAN-2006,,31335,,5018.0,193.0
39,AB551247.1,AB551247.1,"Murine hepatitis virus RNA, complete genome, strain: MHV-MI",1994,['Australia:Melbourne'],31428,"Mus musculus, severe combined immunedeficiency (SCID), female, 6-8 weeks old, liver, sample ID: E4M31",5061.0,187.44444444444446
40,FJ938068.1,FJ938068.1,"Rat coronavirus Parker, complete genome",11-JUL-2009,,31250,rat,3797.0,189.85
41,AY910861.1,AY910861.1,"Synthetic construct murine hepatitis virus, complete genome",12-MAR-2005,,31409,,5397.0,207.57692307692307
