,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,LC216915.1,LC216915.1,"Coronavirus HKU15 genomic RNA, complete genome, strain: S582N",2014-02-13,['Hong Kong'],25406,Sus scrofa domesticus,2430.0,186.92307692307693
1,LC216914.1,LC216914.1,"Coronavirus HKU15 genomic RNA, complete genome, strain: S579N",2014-02-13,['Hong Kong'],25422,Sus scrofa domesticus,2932.0,366.5
2,MN200481.1,MN200481.1,"Coronavirus HKU15 isolate SD2018/300, complete genome",2018,['China: Shandong'],25410,swine,2951.0,184.4375
3,KJ620016.1,KJ620016.1,"Porcine coronavirus HKU15 strain MI6148, complete genome",18-Mar-2014,['USA: Michigan'],25422,pig,2850.0,219.23076923076923
4,KJ584359.1,KJ584359.1,"Porcine coronavirus HKU15 strain NE3579, complete genome",21-Feb-2014,['USA: Nebraska'],25422,pig,2870.0,205.0
5,KJ584358.1,KJ584358.1,"Porcine coronavirus HKU15 strain PA3148, complete genome",18-Feb-2014,['USA: Pennsylvania'],25422,pig,2857.0,219.76923076923077
6,KJ584357.1,KJ584357.1,"Porcine coronavirus HKU15 strain KY4813, complete genome",07-Mar-2014,['USA: Kentucky'],25422,pig,3001.0,230.84615384615384
7,KJ584356.1,KJ584356.1,"Porcine coronavirus HKU15 strain SD3424, complete genome",20-Feb-2014,['USA: South Dakota'],25422,pig,2676.0,223.0
8,KJ584355.1,KJ584355.1,"Porcine coronavirus HKU15 strain IL2768, complete genome",12-Feb-2014,['USA: Ohio'],25422,pig,2935.0,225.76923076923077
9,KJ569769.1,KJ569769.1,"Porcine coronavirus HKU15 strain IN2847, complete genome",13-Feb-2014,['USA: Ohio'],25422,pig,2857.0,219.76923076923077
10,NC_039208.1,NC_039208.1,"Porcine coronavirus HKU15 strain HKU15-155, complete genome",2010,['China: Hong Kong'],25425,pig,2941.0,226.23076923076923
11,JQ065043.2,JQ065043.2,"Porcine coronavirus HKU15 strain HKU15-155, complete genome",2010,['China: Hong Kong'],25425,pig,2941.0,226.23076923076923
12,JQ065042.2,JQ065042.2,"Porcine coronavirus HKU15 strain HKU15-44, complete genome",2009,['China: Hong Kong'],25430,pig,3172.0,158.6
13,KT381613.1,KT381613.1,"Porcine coronavirus HKU15 strain OH11846, complete genome",07-May-2014,['USA: Ohio'],25422,pig,2992.0,199.46666666666667
14,KM012168.1,KM012168.1,"Porcine coronavirus HKU15 strain Michigan/8977/2014, complete genome",17-Mar-2014,['USA: Michigan'],25411,pig,3022.0,125.91666666666667
15,KJ462462.1,KJ462462.1,"Porcine coronavirus HKU15 strain OH1987, complete genome",31-Jan-2014,['USA: Ohio'],25422,pig,2913.0,242.75
16,OK649355.1,OK649355.1,"UNVERIFIED: Porcine deltacoronavirus isolate CHN-HA-2017, complete genome",17-Dec-2017,['China'],25443,piglet,3123.0,183.7058823529412
17,OM047182.1,OM047182.1,"Porcine deltacoronavirus isolate CHN-SCMY2021-01, complete genome",02-Apr-2021,['China'],25381,pig,2231.0,159.35714285714286
18,OP566509.1,OP566509.1,"Porcine deltacoronavirus isolate vPDCoV YRQ/2016, complete genome",2016,['China'],25418,swine,3876.0,352.3636363636364
19,MT260150.1,MT260150.1,"Porcine deltacoronavirus isolate HNZK-02-P15, complete genome",2018-06-05,['China'],25453,swine,2666.0,333.25
20,MT260149.1,MT260149.1,"Porcine deltacoronavirus isolate HNZK-02-P5, complete genome",2018-05-25,['China'],25520,swine,2666.0,333.25
21,ON859973.1,ON859973.1,"UNVERIFIED: Porcine deltacoronavirus isolate JSYC-2021, complete genome",2021-01-20,['China'],25410,swine,2992.0,249.33333333333334
22,ON402372.1,ON402372.1,"Porcine deltacoronavirus isolate HNZK-02-P60, complete genome",11-Jan-2020,['China'],25689,pig,2666.0,333.25
23,ON382562.1,ON382562.1,"Porcine deltacoronavirus isolate HNZK-02 P100, complete genome",10-Jun-2021,['China'],25418,pig,3439.0,245.64285714285714
24,ON968724.1,ON968724.1,"Porcine deltacoronavirus isolate CH/LNFX/2022, complete genome",20-Mar-2022,['China: LiaoNing Province'],25506,porcine,1202.0,85.85714285714286
25,MZ388474.1,MZ388474.1,"Porcine deltacoronavirus isolate CH/GX/PDCoV/2081/2018, complete genome",03-Apr-2018,['China: Guangxi'],25398,porcine,2972.0,212.28571428571428
26,MZ388473.1,MZ388473.1,"Porcine deltacoronavirus isolate CH/GX/PDCoV/1988A/2018, complete genome",06-Feb-2018,['China: Guangxi'],25382,porcine,2209.0,157.78571428571428
27,MZ388472.1,MZ388472.1,"Porcine deltacoronavirus isolate CH/GX/PDCoV/1539C/2017, complete genome",03-Mar-2017,['China: Guangxi'],25405,porcine,2684.0,191.71428571428572
28,MZ388471.1,MZ388471.1,"Porcine deltacoronavirus isolate CH/GX/PDCoV/1491B/2017, complete genome",13-Feb-2017,['China: Guangxi'],25405,porcine,2745.0,152.5
29,MZ388470.1,MZ388470.1,"Porcine deltacoronavirus isolate CH/GX/PDCoV/1472A/2017, complete genome",22-Jan-2017,['China: Guangxi'],25405,porcine,2659.0,189.92857142857142
30,MZ388469.1,MZ388469.1,"Porcine deltacoronavirus isolate CH/GX/PDCoV/1423/2016, complete genome",19-Dec-2016,['China: Guangxi'],25393,porcine,2437.0,174.07142857142858
31,ON494594.1,ON494594.1,"Porcine deltacoronavirus isolate CHN-SF-2018, complete genome",15-Feb-2018,['China'],25389,Sus scrofa,2423.0,134.61111111111111
32,MH700629.1,MH700629.1,"UNVERIFIED: Porcine deltacoronavirus isolate P20_16_VN_0416, complete genome",29-JUL-2022,,25405,swine,2390.0,95.6
33,MH700628.1,MH700628.1,"UNVERIFIED: Porcine deltacoronavirus isolate P12_14_VN_0814, complete genome",29-JUL-2022,,25406,swine,2135.0,118.61111111111111
34,MH700627.1,MH700627.1,"UNVERIFIED: Porcine deltacoronavirus isolate NT1_0416/2016, complete genome",29-JUL-2022,,25405,swine,2546.0,134.0
35,OL900393.1,OL900393.1,"Porcine deltacoronavirus strain CHN-SCMY2021-02, complete genome",02-Apr-2021,['China'],25340,pig,2231.0,159.35714285714286
36,MW816149.1,MW816149.1,"Porcine deltacoronavirus strain CH7328, complete genome",2018,['China'],25420,pig,2899.0,289.9
37,OM777140.1,OM777140.1,"Porcine deltacoronavirus strain NTU/C253/21, complete genome",2021,['Taiwan'],25392,Pig,1645.0,149.54545454545453
38,OM256446.1,OM256446.1,"Porcine deltacoronavirus strain PDCoV-CH-SDLY52-2021, complete genome",Nov-2021,['China'],25403,pig,3184.0,227.42857142857142
39,MZ772936.1,MZ772936.1,"Porcine deltacoronavirus isolate BN, complete genome",2016,['China'],25416,pig,3714.0,337.6363636363636
40,MZ802777.1,MZ802777.1,"Porcine deltacoronavirus strain PDCoV/RBR-1/2016/Thailand, complete genome",May-2016,['Thailand'],25406,Sus scrofa,2642.0,165.125
41,MZ802776.1,MZ802776.1,"Porcine deltacoronavirus strain PDCoV/VUT-1/2016/Vietnam, complete genome",Mar-2016,['Viet Nam'],25406,Sus scrofa,2390.0,95.6
42,MZ802775.1,MZ802775.1,"Porcine deltacoronavirus strain PDCoV/NKP-1/2016/Thailand, complete genome",Jan-2016,['Thailand'],25406,Sus scrofa,2390.0,95.6
43,MZ802774.1,MZ802774.1,"Porcine deltacoronavirus strain PDCoV/CBR-3/2016/Thailand, complete genome",Sep-2016,['Thailand'],25406,Sus scrofa,2174.0,114.42105263157895
44,MZ802773.1,MZ802773.1,"Porcine deltacoronavirus strain PDCoV/CBR-2/2016/Thailand, complete genome",Sep-2016,['Thailand'],25406,Sus scrofa,2174.0,114.42105263157895
45,MZ802772.1,MZ802772.1,"Porcine deltacoronavirus strain PDCoV/CBR-1/2016/Thailand, complete genome",Sep-2016,['Thailand'],25406,Sus scrofa,2174.0,114.42105263157895
46,OK546242.1,OK546242.1,"Porcine deltacoronavirus strain CZ2020, complete genome",2020,['China'],25430,pig,3226.0,293.27272727272725
47,MN520209.1,MN520209.1,"UNVERIFIED: Porcine deltacoronavirus isolate JS2019-A1414, complete genome",Jan-2019,['China: Jiangsu'],25413,,2756.0,229.66666666666666
48,MN520208.1,MN520208.1,"UNVERIFIED: Porcine deltacoronavirus isolate JS2018-YC15, complete genome",Jul-2018,['China: Jiangsu'],25407,,3185.0,227.5
49,MN520207.1,MN520207.1,"UNVERIFIED: Porcine deltacoronavirus isolate JS2018-QF49, complete genome",Oct-2018,['China: Jiangsu'],25406,,3274.0,181.88888888888889
50,MN520206.1,MN520206.1,"UNVERIFIED: Porcine deltacoronavirus isolate HN2019-C132, complete genome",Mar-2019,['China: Henan'],25419,,2986.0,149.3
51,MN520205.1,MN520205.1,"UNVERIFIED: Porcine deltacoronavirus isolate HN2019-C115, complete genome",Mar-2019,['China: Henan'],25420,,2957.0,140.8095238095238
52,MN520204.1,MN520204.1,"UNVERIFIED: Porcine deltacoronavirus isolate HN2018-LH2, complete genome",May-2018,['China: Henan'],25414,,3279.0,273.25
53,MN520203.1,MN520203.1,"UNVERIFIED: Porcine deltacoronavirus isolate GX2018-1, complete genome",Nov-2018,['China: Guangxi'],25423,,2717.0,209.0
54,MN520202.1,MN520202.1,"UNVERIFIED: Porcine deltacoronavirus isolate GD2018-1, complete genome",May-2018,['China: Guangdong'],25421,,2964.0,156.0
55,MN520201.1,MN520201.1,"UNVERIFIED: Porcine deltacoronavirus isolate GD2018-186, complete genome",2018,['China: Guangdong'],25422,,3652.0,214.8235294117647
56,MN520200.1,MN520200.1,"UNVERIFIED: Porcine deltacoronavirus isolate AH2018-94, complete genome",2018,['China: Anhui'],25404,,2308.0,128.22222222222223
57,MN520199.1,MN520199.1,"UNVERIFIED: Porcine deltacoronavirus isolate AH2018-93, complete genome",2018,['China: Anhui'],25397,,2523.0,168.2
58,MN520198.1,MN520198.1,"UNVERIFIED: Porcine deltacoronavirus isolate AH2019-H, complete genome",2019,['China: Anhui'],25413,,2667.0,156.88235294117646
59,MN520197.1,MN520197.1,"UNVERIFIED: Porcine deltacoronavirus isolate SD2018-4, complete genome",Apr-2018,['China: Shandong'],25404,,2951.0,184.4375
60,MN520196.1,MN520196.1,"UNVERIFIED: Porcine deltacoronavirus isolate SD2018-306, complete genome",Mar-2018,['China: Shandong'],25404,,2951.0,184.4375
61,MN520195.1,MN520195.1,"UNVERIFIED: Porcine deltacoronavirus isolate SD2018-304, complete genome",Mar-2018,['China: Shandong'],25404,,2951.0,184.4375
62,MN520194.1,MN520194.1,"UNVERIFIED: Porcine deltacoronavirus isolate SD2018-10, complete genome",Oct-2018,['China: Shandong'],25420,,2565.0,160.3125
63,MN520193.1,MN520193.1,"UNVERIFIED: Porcine deltacoronavirus isolate AH2018-81, complete genome",2018,['China: Anhui'],25406,,2523.0,168.2
64,MN520192.1,MN520192.1,"UNVERIFIED: Porcine deltacoronavirus isolate ZJ2018-D, complete genome",Aug-2018,['China: Zhejiang'],25419,,2854.0,150.21052631578948
65,MN520191.1,MN520191.1,"UNVERIFIED: Porcine deltacoronavirus isolate SD2019-426, complete genome",2019,['China: Shandong'],25382,,2061.0,103.05
66,MN520190.1,MN520190.1,"UNVERIFIED: Porcine deltacoronavirus isolate AH2018-322, complete genome",Mar-2018,['China: Anhui'],25417,,2585.0,287.22222222222223
67,MT663769.1,MT663769.1,"Porcine deltacoronavirus strain CHN-TS1-2019, complete genome",23-Jul-2019,['China'],25420,Sus_scrofa,2988.0,199.2
68,MZ802955.1,MZ802955.1,"Porcine deltacoronavirus isolate CH-HLJ-20, complete genome",2020-09,['China'],25403,swine,2816.0,165.64705882352942
69,MW854634.1,MW854634.1,"Porcine deltacoronavirus isolate 104-553, complete genome",Jun-2015,['Taiwan'],25418,pig,2655.0,102.11538461538461
70,MZ291567.1,MZ291567.1,"Porcine deltacoronavirus strain OH-FD22 P7, complete genome",2014,['USA'],25438,swine,2783.0,163.7058823529412
71,MW685624.1,MW685624.1,"Porcine deltacoronavirus isolate PDCoV/Haiti/Human/0329-4/2015, complete genome",13-Apr-2015,['Haiti'],25444,Homo sapiens,3082.0,140.0909090909091
72,MW685623.1,MW685623.1,"Porcine deltacoronavirus isolate PDCoV/Haiti/Human/0256-1/2015, complete genome",2015-03-16,['Haiti'],25447,Homo sapiens,2745.0,196.07142857142858
73,MW685622.1,MW685622.1,"Porcine deltacoronavirus isolate PDCoV/Haiti/Human/0081-4/2014, complete genome",2014-12-15,['Haiti'],25444,Homo sapiens,3034.0,137.9090909090909
74,MT227371.1,MT227371.1,"UNVERIFIED: Porcine deltacoronavirus strain PDCoV/Peru/isolate/2019, complete genome",Oct-2019,['Peru'],25501,porcine,2373.0,87.88888888888889
75,MH118333.1,MH118333.1,"UNVERIFIED: Porcine deltacoronavirus isolate P30_15_VN_1215, complete genome",31-DEC-2020,['Viet Nam'],25408,pig,2422.0,134.55555555555554
76,MH118332.1,MH118332.1,"Porcine deltacoronavirus isolate P19_16_VN_0416, complete genome",31-DEC-2020,['Viet Nam'],25404,pig,2264.0,66.58823529411765
77,MH118331.1,MH118331.1,"UNVERIFIED: Porcine deltacoronavirus isolate P1_16_VN_0116, complete genome",31-DEC-2020,['Viet Nam'],25408,pig,2422.0,134.55555555555554
78,MK625641.1,MK625641.1,"Porcine deltacoronavirus isolate CH/JXJGS01/2016, complete genome",2018-10,['China'],25446,swine,3022.0,232.46153846153845
79,MK625640.1,MK625640.1,"Porcine deltacoronavirus isolate CH/JXJGS01/2016, complete genome",2018-10,['China'],25447,swine,2618.0,137.78947368421052
80,MK625639.1,MK625639.1,"Porcine deltacoronavirus isolate CH/JXJGS01/2016, complete genome",2018-10,['China'],25438,swine,2607.0,144.83333333333334
81,MK625638.1,MK625638.1,"Porcine deltacoronavirus isolate CH/JXJGS01/2016, complete genome",2018-10,['China'],25447,swine,2572.0,171.46666666666667
