,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals Total Length,Intervals Mean Length
0,KP887098.1,KP887098.1,"UNVERIFIED: Murine coronavirus strain AM2, complete genome",01-Jul-2014,['USA'],31409,,384.0,10.666666666666666
1,KF268339.1,KF268339.1,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_ns2M/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31283,Mus musculus,384.0,10.666666666666666
2,KF268338.1,KF268338.1,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_L94P/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31294,Mus musculus,384.0,10.666666666666666
3,KF268337.1,KF268337.1,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_17Cl1/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31294,Mus musculus,384.0,10.666666666666666
4,KF268336.1,KF268336.1,"Murine coronavirus strain MHV/BHKR_lab/USA/infA59_H126A/2012, complete genome",25-Oct-2012,['USA: Philadelphia'],31294,Mus musculus,384.0,10.666666666666666
5,JX169867.1,JX169867.1,"Murine coronavirus strain JHM.WU, complete genome",14-Aug-1947,['USA'],31051,,418.0,10.45
6,JX169866.1,JX169866.1,"Murine coronavirus strain JHM-WU-Dns2, complete genome",14-Aug-1947,['USA'],30729,,418.0,10.45
7,FJ647220.1,FJ647220.1,"Murine coronavirus RA59/SJHM, complete genome",24-JUL-2016,['USA: Pennsylvania'],31429,Mus musculus,454.0,10.80952380952381
8,FJ647227.1,FJ647227.1,"Murine coronavirus repJHM/RA59, complete genome",24-JUL-2016,['USA: Pennsylvania'],31250,Mus musculus,458.0,10.409090909090908
9,FJ647226.1,FJ647226.1,"Murine coronavirus MHV-JHM.IA, complete genome",24-JUL-2016,['USA: Pennsylvania'],31473,Mus musculus,488.0,10.608695652173912
10,FJ647222.1,FJ647222.1,"Murine coronavirus SA59/RJHM, complete genome",24-JUL-2016,['USA: Pennsylvania'],31283,Mus musculus,418.0,10.45
11,FJ647221.1,FJ647221.1,"Murine coronavirus repA59/RJHM, complete genome",24-JUL-2016,['USA: Pennsylvania'],31456,Mus musculus,414.0,10.894736842105264
12,FJ647218.1,FJ647218.1,"Murine coronavirus RA59/R13, complete genome",01-Jan-2006,['USA: Pennsylvania'],31285,Mus musculus,384.0,10.666666666666666
13,MW620427.1,MW620427.1,"Murine coronavirus MHV-3 isolate UNICAMP, complete genome",2020,['Brazil: Campinas-SP'],31218,Mus musculus,594.0,10.067796610169491
14,FJ647225.1,FJ647225.1,"Murine coronavirus inf-MHV-A59, complete genome",24-JUL-2016,['USA: Pennsylvania'],31293,Mus musculus,384.0,10.666666666666666
15,FJ647224.1,FJ647224.1,"Murine coronavirus MHV-3, complete genome",24-JUL-2016,['USA: Pennsylvania'],31448,Mus musculus,530.0,10.0
16,FJ647223.1,FJ647223.1,"Murine coronavirus MHV-1, complete genome",24-JUL-2016,['USA: Pennsylvania'],31386,Mus musculus,456.0,10.133333333333333
17,FJ647219.1,FJ647219.1,"Murine coronavirus RJHM/A, complete genome",24-JUL-2016,['USA: Pennsylvania'],31427,Mus musculus,488.0,10.608695652173912
18,NC_001846.1,NC_001846.1,"Murine hepatitis virus strain MHV-A59 C12 mutant, complete genome",14-NOV-2020,,31357,,384.0,10.666666666666666
19,AF029248.1,AF029248.1,"Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome",25-JUL-2000,,31357,,384.0,10.666666666666666
20,GU593319.1,GU593319.1,"Murine hepatitis virus strain S, complete genome",23-JUL-2010,['USA'],31147,mouse,534.0,10.470588235294118
21,OK491634.1,OK491634.1,"Murine hepatitis virus strain COR-118, complete genome",2019,,31252,murine,506.0,9.92156862745098
22,NC_012936.1,NC_012936.1,"Rat coronavirus Parker, complete genome",27-SEP-2020,,31250,rat,444.0,10.325581395348838
23,AC_000192.1,AC_000192.1,"Murine hepatitis virus strain JHM, complete genome",26-SEP-2020,,31526,,486.0,10.565217391304348
24,NC_048217.1,NC_048217.1,"Murine hepatitis virus strain A59, complete genome",16-SEP-2020,,31335,,384.0,10.666666666666666
25,MF416379.1,MF416379.1,"Murine hepatitis virus isolate MHV/NYC/Manhattan/poolF5, partial genome",Sep-2014,['USA'],31414,Mus musculus,450.0,10.0
26,MF618253.1,MF618253.1,"Murine hepatitis virus strain A59 isolate MHV-ExoN(-) P250, complete genome",16-Jan-2014,['USA'],29893,mouse,362.0,10.647058823529411
27,MF618252.1,MF618252.1,"Murine hepatitis virus strain A59 isolate WT-MHV P250, complete genome",16-Jan-2014,['USA'],29947,mouse,384.0,10.666666666666666
28,FJ884687.1,FJ884687.1,"Murine hepatitis virus strain A59 B12 variant, complete genome",24-JUL-2016,['USA: Pennsylvania'],31277,mouse,384.0,10.666666666666666
29,FJ884686.1,FJ884686.1,"Murine hepatitis virus strain A59 B11 variant, complete genome",24-JUL-2016,['USA: Pennsylvania'],31275,mouse,384.0,10.666666666666666
30,AF208067.1,AF208067.1,"Murine hepatitis virus strain ML-10, complete genome",03-JAN-2002,,31233,,384.0,10.666666666666666
