,GenBank ID,Accession,Description,Collection Date,Geographic Location,Sequence Length,Host,Intervals total length,Intervals mean length
0,ON313747.1,ON313747.1,"UNVERIFIED: Alphacoronavirus 1 isolate CDAB0492R, partial genome",2018-06-03,['Republic of the Congo'],27989,Mops condylurus,2567.0,95.07407407407408
1,KP849472.1,KP849472.1,"Alphacoronavirus 1 strain 23/03, complete genome",2003,['Italy'],30004,,707.0,117.83333333333333
2,MH817484.1,MH817484.1,"Feline alphacoronavirus 1 strain FCoV-SB22, complete genome",2015,['Brazil'],29137,Felis catus,1502.0,166.88888888888889
3,OP715781.1,OP715781.1,"MAG: Tadarida brasiliensis bat alphacoronavirus 1 isolate Tb1, complete genome",28-Nov-2017,['Argentina'],28844,Tadarida brasiliensis,2104.0,191.27272727272728
4,OM030318.1,OM030318.1,"Jingmen Myotis ricketti alphacoronavirus 1 isolate JSB_DaZu, complete genome",2016,['China'],28090,Myotis ricketti,732.0,122.0
5,MZ328303.1,MZ328303.1,"Wenzhou Suncus murinus alphacoronavirus 1, complete genome",2016,['China'],25940,Suncus murinus,0.0,
6,MZ328302.1,MZ328302.1,"Jingmen Apodemus agrarius alphacoronavirus 1, complete genome",2016,['China'],27382,Apodemus agrarius,2627.0,175.13333333333333
7,MZ328301.1,MZ328301.1,"Longquan Berylmys bowersi alphacoronavirus 1, complete genome",2016,['China'],28660,Berylmys bowersi,3317.0,110.56666666666666
8,MZ328299.1,MZ328299.1,"Jingmen Miniopterus schreibersii alphacoronavirus 1, complete genome",2016,['China'],28041,Miniopterus schreibersii,706.0,78.44444444444444
9,MZ328298.1,MZ328298.1,"Jingmen Myotis chinensis alphacoronavirus 1, complete genome",2016,['China'],27914,Myotis chinensis,2495.0,124.75
10,ON595871.1,ON595871.1,"MAG: Feline coronavirus isolate HC-10, complete genome",2018,['Australia'],29258,Felis catus,891.0,222.75
11,ON595870.1,ON595870.1,"MAG: Feline coronavirus isolate HC-9, complete genome",2018,['Australia'],29271,Felis catus,738.0,184.5
12,ON595869.1,ON595869.1,"MAG: Feline coronavirus isolate HC-8, complete genome",2018,['Australia'],29265,Felis catus,799.0,266.3333333333333
13,ON595868.1,ON595868.1,"MAG: Feline coronavirus isolate HC-7, complete genome",2018,['Australia'],29296,Felis catus,760.0,152.0
14,ON595867.1,ON595867.1,"MAG: Feline coronavirus isolate HC-6, complete genome",2018,['Australia'],29299,Felis catus,777.0,194.25
15,ON595866.1,ON595866.1,"MAG: Feline coronavirus isolate HC-5, complete genome",2018,['Australia'],29288,Felis catus,892.0,148.66666666666666
16,ON595863.1,ON595863.1,"MAG: Feline coronavirus isolate HC-2 ORF1ab and ORF1a genes, partial cds; and S, ORF3a, ORF3b, E, M, N, ORF7a, and ORF7b genes, complete cds",2018,['Australia'],28806,Felis catus,481.0,120.25
17,ON595862.1,ON595862.1,"MAG: Feline coronavirus isolate HC-1, complete genome",2018,['Australia'],29314,Felis catus,731.0,91.375
18,ON595858.1,ON595858.1,"MAG: Feline coronavirus isolate FPV-6, complete genome",2017,['Australia'],29334,Felis catus,1181.0,393.6666666666667
19,ON595857.1,ON595857.1,"MAG: Feline coronavirus isolate FPV-5, complete genome",2017,['Australia'],29347,Felis catus,1359.0,271.8
20,ON595856.1,ON595856.1,"MAG: Feline coronavirus isolate FPV-4, complete genome",2017,['Australia'],29333,Felis catus,1561.0,141.9090909090909
21,ON595855.1,ON595855.1,"MAG: Feline coronavirus isolate FPV-3, complete genome",2017,['Australia'],29287,Felis catus,1483.0,148.3
22,ON595854.1,ON595854.1,"MAG: Feline coronavirus isolate FPV-2, complete genome",2017,['Australia'],29260,Felis catus,1179.0,294.75
23,ON595853.1,ON595853.1,"MAG: Feline coronavirus isolate FPV-1, complete genome",2017,['Australia'],29293,Felis catus,654.0,327.0
24,OX335623.1,OX335623.1,"Canine coronavirus isolate 61/22 genome assembly, chromosome: 1",04-OCT-2022,,29139,,688.0,344.0
25,OX335549.1,OX335549.1,"Canine coronavirus isolate 12/20 genome assembly, chromosome: 1",04-OCT-2022,,29321,,679.0,169.75
26,OX335548.1,OX335548.1,"Canine coronavirus isolate 62/22 genome assembly, chromosome: 1",04-OCT-2022,,29245,,495.0,247.5
27,OX335546.1,OX335546.1,"Canine coronavirus isolate 59/22 genome assembly, chromosome: 1",04-OCT-2022,,29213,,495.0,247.5
28,OX335545.1,OX335545.1,"Canine coronavirus isolate 38/22 genome assembly, chromosome: 1",04-OCT-2022,,29240,,495.0,247.5
29,OX335541.1,OX335541.1,"Canine coronavirus isolate 11/22 genome assembly, chromosome: 1",04-OCT-2022,,29268,,934.0,311.3333333333333
30,OX335535.1,OX335535.1,"Canine coronavirus isolate 13/22 genome assembly, chromosome: 1",04-OCT-2022,,29218,,495.0,247.5
31,OX335534.1,OX335534.1,"Canine coronavirus isolate 10/22 genome assembly, chromosome: 1",04-OCT-2022,,29311,,495.0,247.5
32,OX335530.1,OX335530.1,"Canine coronavirus isolate 46/22 genome assembly, chromosome: 1",04-OCT-2022,,29206,,495.0,247.5
